id;category;kind;front;back;extras;pronunciation;memoryHook;memoryStory;rank;labels;status;lastTested;numberOfTimesTested;lastLearned;numberOfTimesLearned;importId;systemWhenCreated;systemWhoCreated
1826;git;command;"how to see if there is anything to push *(if nothing, then ""Everything up-to-date"")*";git push --dry-run;;;;;4.41;;learned;2020-05-06 07:42:15;6;2020-05-06 07:42:15;1;howToSeeIfThereIsAnythingToPush_gitPushDryRun;2019-11-29 04:19:14;systemUnknown
1835;vi;command;how to change the word your cursor is on;cw (change word) or ciw (change inner word);;;;;4.82;;learned;2020-05-04 10:32:05;3;2020-05-04 10:32:05;1;howToChangeTheWordYourCursorIsOn_cwChangeWordOrCiwChangeInnerWord;2019-11-29 07:46:28;systemUnknown
1899;vi;command;how to duplicate line;yy p;;;;;3.9;;learned;2020-05-06 05:55:38;4;2020-05-06 05:55:38;1;howToDuplicateLine_yyP;2019-11-29 10:57:01;systemUnknown
1928;git;command;"how to list all commits as ""hash - date - title - author""";"git log --pretty=format:""%h - %ci - %s - %an""";;;;;4.5;;learned;2020-05-07 20:50:49;7;2020-05-07 20:50:49;1;howToListAllCommitsWithDateAndAuthor_gitLogPrettyformathCiSAn;2019-12-05 04:10:53;systemUnknown
2649;sqlite;command;show list of all used categories in order, then with totals;``` only categories: `select DISTINCT trim(category) from flashcards order by category`, with totals: `select category, count(*) as total from flashcards group by category order by total desc`;;;;;4.27;;learned;2020-06-08 05:59:18;9;2020-06-08 05:59:18;1;showListOfAllUsedCategoriesInOrder_selectDISTINCTTrimcategoryFromFlashcardsOrderByCategory;2020-04-27 14:17:55;systemUnknown
2650;sqlite;command;show all where category is one of three values;select * from flashcards where category in ('linux', 'git', 'javascript');;;;;3.95;;learned;2020-05-04 09:00:21;2;2020-05-04 09:00:21;1;showAllWhereCategoryIsOneOfThreeValues_selectFromFlashcardsWhereCategoryInLinuxGitJavascript;2020-04-27 14:17:55;systemUnknown
2651;git;command;how to add all changes from working directory to index;git add -A;;;;;4.29;;learned;2020-05-13 07:53:26;4;2020-05-13 07:53:26;1;howToAddAllChangesFromWorkingDirectoryToIndex_gitAddA;2020-04-27 17:27:28;systemUnknown
2652;git;command;list abbreviated log;git log --online;;;;;3.36;;testing;2020-05-04 05:34:45;1;;0;listAbbreviatedLog_gitLogOnline;2020-04-27 17:27:28;systemUnknown
2653;git;command;how to undo a commit;git log --oneline **then** git revert 068b100;;;;;4.64;;learned;2020-05-04 09:09:19;2;2020-05-04 09:09:19;1;howToUndoACommit_gitLogOnlineThenGitRevert68b1;2020-04-27 17:27:28;systemUnknown
2654;npm;command;how to find which packages need to be updated;npm outdated;;;;;2.93;;testing;2020-05-04 08:44:59;1;;0;howToFindWhichPackagesNeedToBeUpdated_npmOutdated;2020-04-27 17:27:28;systemUnknown
2655;git;command;how to push local branch to remote;git push -u origin et/bugfix/clean-up-code-copy-box;;;;;3.24;;testing;2020-05-04 08:46:16;1;;0;howToPushLocalBranchToRemote_gitPushUOriginEtbugfixcleanUpCodeCopyBox;2020-04-27 17:27:28;systemUnknown
2656;git;command;how to change git editor for commits;"git config --global core.editor ""nano"" **(or ""vim"")**";;;;;3.19;;testing;2020-05-04 08:46:45;1;;0;howToChangeGitEditorForCommits_gitConfigGlobalCoreeditorNanoOrVim;2020-04-27 17:27:28;systemUnknown
2657;git;command;only show the last commit;git log -1;;;;;3.43;;testing;2020-05-04 08:47:01;1;;0;onlyShowTheLastCommit_gitLog1;2020-04-27 17:27:28;systemUnknown
2658;git;command;how to discard changes to a file in working directory	;git checkout -- index.html;;;;;2.5;;testing;2020-05-04 08:48:04;1;;0;howToDiscardChangesToAFileInWorkingDirectory_gitCheckoutIndexhtml;2020-04-27 17:27:28;systemUnknown
2659;git;command;how to mark a file as deleted in the index ;git rm --cached index.html													;;;;;3.38;;testing;2020-05-04 08:53:09;1;;0;howToGetAFileBackFromIndexToWorkingDirectory_gitRmCachedIndexhtml;2020-04-28 16:25:12;systemUnknown
2660;git;command;how to see all files in working directory that are not being tracked yet;git ls-files --others --exclude-standard;;;;;1.88;;testing;2020-06-08 05:20:20;2;;0;howToSeeAllFilesInWorkingDirectoryThatAreNotBeingTrackedYet_gitLsFilesOthersExcludeStandard;2020-04-28 16:25:12;systemUnknown
2661;gimp;shortcut;toggle between two zooms;back-tick key;;;;;2.5;;new;;0;;0;toggleBetweenTwoZooms_backTickKey;2020-05-04 11:10:56;systemUnknown
2662;gimp;shortcut;fit image in window;ctrl-shift-j;;;;;2.5;;new;;0;;0;fitImageInWindow_ctrlShiftJ;2020-05-04 11:14:09;systemUnknown
2663;gimp;shortcut;deselect selection;ctrl-shift-a;;;;;2.5;;new;;0;;0;deselectSelection_ctrlShiftA;2020-05-04 11:14:09;systemUnknown
2664;gimp;shortcut;open file;double-click in main window area;;;;;2.5;;new;;0;;0;openFile_doubleClickInMainWindowArea;2020-05-04 16:11:00;systemUnknown
2665;git;command;how to set the GitHub repository for a new local directory;git remote add origin https://github.com/edwardtanguay/nodeExpress4.git && git push -u origin master;;;;;5;;learned;2020-05-06 06:54:18;3;2020-05-06 06:54:18;1;howToSetTheGitHubRepositoryForANewLocalDirectory_gitRemoteAddOriginHttpsgithubcomedwardtanguaynodeExpress4gitGitPushUOriginMaster;2020-05-04 16:11:00;systemUnknown
2666;git;command;how to reset all tracked files in workspace back;git checkout -- .;;;;;4.9;;learned;2020-05-07 20:49:29;5;2020-05-07 20:49:29;1;howToResetAllTrackedFilesInWorkspaceBack_gitCheckout;2020-05-04 16:11:00;systemUnknown
2667;git;command;how to clone a branch of a GitHub repository;git clone -b 001-two-page-base-functionality https://github.com/edwardtanguay/eleventy4.git eleventy001;;;;;4.71;;learned;2020-05-06 08:23:26;3;2020-05-06 08:23:26;1;howToCloneABranchOfAGitHubRepository_gitCloneB1TwoPageBaseFunctionalityHttpsgithubcomedwardtanguayeleventy4gitEleventy1;2020-05-04 16:11:00;systemUnknown
2668;git;command;how to see what files I am about to push;git diff --stat --cached origin/master;;;;;5;;learned;2020-05-13 03:57:47;8;2020-05-13 03:57:47;1;howToSeeWhatFilesIAmAboutToPush_gitDiffStatCachedOriginmaster;2020-05-04 16:11:00;systemUnknown
2669;git ;command;how to get the latest changes from master into your branch;git merge origin/master;;;;;2.5;;new;;0;;0;howToGetTheLatestChangesFromMasterIntoYourBranch_gitMergeOriginmaster;2020-05-04 16:11:00;systemUnknown
2670;linux;command;how to find out what an alias is mapped to;type ll;;;;;2.5;;removed;;0;;0;howToFindOutWhatAnAliasIsMappedTo_typeLl;2020-05-04 16:11:00;systemUnknown
2671;git;command;how to remove untracked files and directories in working directory, e.g. a whole bunch of log files and test directories that you created but don't want to add to the repository;git clean -fd  >>> (f = force, d = directories);;;;;3.04;;testing;2020-05-04 10:59:39;1;;0;howToRemoveUntrackedFilesInWorkingDirectoryEgAWholeBunchOfLogFilesYouCreatedButDontWantToAddToTheRepository_gitCleanFd;2020-05-04 16:11:00;systemUnknown
2672;browsersync;commands;how to browse through directory and start HTML websites on port;browser-sync start -s --directory --files=*/**;;;;;2.5;;new;;0;;0;howToBrowseThroughDirectoryAndStartHTMLWebsitesOnPort_browserSyncStartSDirectoryFiles;2020-05-04 16:11:00;systemUnknown
2673;dev;tool;how to install local http server;``` `npm i http-server -g` (global) then e.g. `http-server -p 3333` and `localhost:3333` will use `index.html`  as default;;;;;4.92;;learned;2020-06-03 05:33:06;2;2020-06-03 05:33:06;1;howToInstallLocalHttpServer_npmInstallHttpServerGThenEgHttpServerP3333;2020-05-04 16:11:00;systemUnknown
2674;linux ;command;how to make command executable, and remove it;chmod u+x doit (chmod u-x doit);;;;;2.5;;new;;0;;0;howToMakeCommandExecutableAndRemoveIt_chmodUxDoitChmodUXDoit;2020-05-04 16:11:00;systemUnknown
2676;git;command;how to send just one changed file from working directory all the way to local repository;"git commit *todo.txt -m ""small changes to todo file""";;;;;3.29;;testing;2020-05-04 12:47:35;1;;0;howToSendJustOneChangedFileFromWorkingDirectoryAllToLocalRepository_gitCommitTodotxtMSmallChangesToTodoFile;2020-05-04 16:11:00;systemUnknown
2677;webdev;tool;program that shows keys you are typing for tutorials and workshops;ODS Hot Keys;;;;;2.5;;new;;0;;0;programThatShowsKeysYouAreTypingForTutorialsAndWorkshops_oDSHotKeys;2020-05-04 16:11:00;systemUnknown
2678;emmet;command;how to produce filler text in a paragraph element;p>lorem;;;;;2.5;;new;;0;;0;howToProduceFillerTextInAParagraphElement_plorem;2020-05-04 16:11:00;systemUnknown
2679;webpack;info;what does the style-loader do?;injects css into head of the DOM;;;;;2.5;;new;;0;;0;whatDoesTheStyleLoaderDo_injectsCssIntoHeadOfTheDOM;2020-05-04 16:11:00;systemUnknown
2680;linux;command;"find all files in `systemItems` which have the text ""ver"" in them";"find systemItems -iname ""*ver*""";;;;;4.82;;learned;2020-05-06 08:57:35;4;2020-05-06 08:57:35;1;findAllFilesInSystemItemsWhichHaveTheTextVerInThem_findSystemItemsInameVer;2020-05-04 16:16:36;systemUnknown
2681;linux;command;find all empty files in (1) *all recursive files* and (2) in *certain directory*;``` `find . -empty` and for specific directory: `find ./dev -empty` (notice `./`);;;;;4.3;;learned;2020-06-08 05:47:33;9;2020-06-08 05:47:33;1;findAllEmptyFiles_findEmpty;2020-05-04 16:27:09;systemUnknown
2682;linux;command;"find all JavaScript files that have the word ""array"" in them";" find . -iname ""*array*""";;;;;4.69;;learned;2020-05-13 05:56:51;6;2020-05-13 05:56:51;1;findAllJavaScriptFilesThatHaveTheWordArrayInThem_findGrepIArrayjs;2020-05-04 19:19:43;systemUnknown
2683;linux;command;"create a file listing all JavaScript files that have the word ""item"" in the name EXCEPT in the `node_modules` directory";"find . -name ""*"" -not -path ""./node_modules/*"" | grep -i "".*item.*\.js$"" > text.txt	";;;;;4.91;;removed;2020-05-07 20:48:54;5;;0;findAllJavaScriptFilesThatHaveTheWordItemInTheNameEXCEPTInTheNodemodulesDirectory_findNameNotPathNodemodulesGrepIItemjsTexttxt;2020-05-04 19:19:43;systemUnknown
2684;linux;command;"find all files with ""parse"" in the name EXCEPT in the directory `node_modules`";"find . -iname ""*parse*"" -not -path ""./node_modules/*""";;;;;4.85;;learned;2020-05-06 07:17:37;2;2020-05-06 07:17:37;1;findAllFilesWithParseInTheNameEXCEPTInTheDirectoryNodemodules_findInameParseNotPathNodemodules;2020-05-04 19:19:43;systemUnknown
2685;git;command;how to get the remote GitHub fetch/pull URL of a local repository;``` `git remote -v` (-v is for verbose);;;;;4.7;;learned;2020-06-05 08:42:22;7;2020-06-05 08:42:22;1;howToGetTheRemoteGitHubFetchURLOfALocalRepository_gitRemoteV;2020-05-05 07:46:35;systemUnknown
2686;gimp;shortcut;rectangle tool;r;;;;;2.5;;new;;0;;0;rectangleTool_r;2020-05-05 07:46:35;systemUnknown
2687;gimp;shortcut;unselect everything;ctrl-shift-a;;;;;2.5;;new;;0;;0;unselectEverything_ctrlShiftA;2020-05-05 07:46:35;systemUnknown
2688;npm;command;how to uninstall an npm package, e.g. `babel-node`;npm un babel-node;;;;;4.19;;learned;2020-06-08 06:00:27;6;2020-06-08 06:00:27;1;howToUninstallAPackage_npmUnBabelNode;2020-05-05 07:46:35;systemUnknown
2689;git;command;merge branch you are working on back into master;git checkout master && git merge et/feat/new-checkbox && git branch -d et/feat/new-checkbox;;;;;4.79;;learned;2020-06-08 05:47:03;6;2020-06-08 05:47:03;1;gitMergeEtfeatnewCheckbox_;2020-05-05 17:20:37;systemUnknown
2690;git;command;make new branch;``` `git checkout -b et/feat/new-checkbox` (-b = new branch);;;;;4.46;;learned;2020-05-07 20:51:12;4;2020-05-07 20:51:12;1;gitCheckoutBEtfeatnewCheckbox_;2020-05-05 17:20:37;systemUnknown
2691;git;command;how to delete a local branch;git branch -d et/bugfix/clean-up-code-copy-box;;;;;4.42;;learned;2020-05-06 07:42:00;2;2020-05-06 07:42:00;1;gitBranchDEtbugfixcleanUpCodeCopyBox_;2020-05-05 17:20:37;systemUnknown
2692;git;command;show all branches, local and remote;git branch -a;;;;;4.47;;learned;2020-05-06 07:41:28;2;2020-05-06 07:41:28;1;gitBranchA_;2020-05-05 17:20:37;systemUnknown
2693;browsersync;command;what is the basic command to start browser-sync;"browser-sync start -s -f ""**/*""";;;;;2.5;;new;;0;;0;browserSyncStartServerFiles_;2020-05-06 09:09:04;systemUnknown
2694;node;clarification;what does the ampersand in `import Component from '@/components/component'` mean;it means from the root of the project and avoids you having to write things like: import Component from '../../../../components/component';;;;;2.5;;new;;0;;0;whatDoesTheAmpersandInImportComponentFromComponentscomponentMean_itMeansFromTheRootOfTheProjectAndAvoidsYouHavingToWriteThingsLikeImportComponentFromComponentscomponent;2020-05-06 09:09:04;systemUnknown
2695;gimp;shortcut;ellipse select tool;e;;;;;2.5;;new;;0;;0;ellipseSelectTool_e;2020-05-06 09:09:04;systemUnknown
2696;css;explanation;"what does `@import 'custom.css';` mean";is used to import style rules from other style sheets;;;;;2.5;;new;;0;;0;whatDoesImportCustomcssMean_isUsedToImportStyleRulesFromOtherStyleSheets;2020-05-06 09:09:04;systemUnknown
2697;browsersync;syntax;"what do the double asterisks in `--files ""/assets/**/*.*""` mean";any file with any extension in any subdirectory, including the current one;;;;;2.5;;new;;0;;0;whatDoTheDoubleAsterisksInFilesAssetsMean_anyFileWithAnyExtensionInAnySubdirectoryIncludingTheCurrentOne;2020-05-06 11:49:29;systemUnknown
2698;browsersync;command;how to start browser-sync with a config file after you run `browser-sync init`;browser-sync start --config bs-config.js;;;;;2.5;;new;;0;;0;howToStartBrowserSyncWithAConfigFileAfterYouRunBrowserSyncInit_browserSyncStartConfigBsConfigjs;2020-05-06 11:49:29;systemUnknown
2699;browsersync;command;"how to specific the main file as ""index.htm""";"browser-sync start --server --files ""**/*"" --index ""index.htm""";;;;;2.5;;new;;0;;0;howToSpecificTheMainFileAsIndexhtm_browserSyncStartServerFilesIndexIndexhtm;2020-05-06 11:49:29;systemUnknown
2700;git;command;delete a remote branch that still shows with `git branch -a` but doesn't actually exist;git remote prune origin;;;;;3.22;;testing;2020-05-06 06:33:34;1;;0;deleteARemoteBranchThatStillShowsWithGitBranchAButDoesntActuallyExist_gitRemotePruneOrigin;2020-05-06 11:49:29;systemUnknown
2701;git;command;get the name of the commit that is about to be pushed;git log --oneline -1;;;;;4.53;;learned;2020-05-13 06:00:12;2;2020-05-13 06:00:12;1;getTheNameOfTheCommitThatIsAboutToBePushed_gitLogOneline1;2020-05-06 16:45:41;systemUnknown
2702;git;command;find all JavaScript files in any directory except for `node_modules`;"find . -iname ""*.js"" -not -path ""./node_modules/*""";;;;;4.97;;learned;2020-05-12 07:09:55;3;2020-05-12 07:09:55;1;smallerCommandToFindAllJavaScriptFilesInAnyDirectoryExceptForNodemodules_findInameItemjsNotPathNodemodules;2020-05-06 16:45:41;systemUnknown
2703;git;command;how to completely reset working directory, e.g. all new and tracked files;git clean -df && git checkout -- .;;;;;4.94;;learned;2020-05-13 04:20:50;2;2020-05-13 04:20:50;1;howToCompletelyResetWorkingDirectoryEgAllNewAndTrackedFiles_gitCleanDfGitCheckout;2020-05-06 16:45:41;systemUnknown
2704;vi;command;swap words;dwwP;;;;;4.36;;learned;2020-05-13 07:47:35;2;2020-05-13 07:47:35;1;swapWords_dwwP;2020-05-06 16:45:41;systemUnknown
2705;gimp;shortcut;how to hide all other layers but one;SHIFT-eye;;;;;2.5;;new;;0;;0;howToHideAllOtherLayersButOne_sHIFTEye;2020-05-07 17:28:34;systemUnknown
2706;gimp;shortcut;lasso tool;f;;;;;2.5;;new;;0;;0;lassoTool_f;2020-05-07 17:28:34;systemUnknown
2707;npm;command;see which global packages are installed;npm list -g --depth=0;;;;;4.99;;learned;2020-05-12 05:59:57;2;2020-05-12 05:59:57;1;seeWhichGlobalPackagesAreInstalled_npmListGDepth;2020-05-08 02:46:46;systemUnknown
2708;windows;keyboard;ALT-number for asterisk;ALT-42;;;;;2.5;;new;;0;;0;alt 42_;2020-05-10 16:50:41;systemUnknown
2709;gimp;tip;merge all layers into new layer;Layer > New From Visible;;;;;2.5;;new;;0;;0;mergeAllLayersIntoNewLayer_layerNewFromVisible;2020-05-10 16:50:41;systemUnknown
2710;gimp;shortcut;create new layer;ctrl-shift-n;;;;;2.5;;new;;0;;0;createNewLayer_ctrlShiftN;2020-05-10 16:50:41;systemUnknown
2711;vscode;tip;how to see release notes again;SHIFT-CTRL-P code: show release notes;;;;;2.5;;new;;0;;0;howToSeeReleaseNotesAgain_sHIFTCTRLPCodeShowReleaseNotes;2020-05-10 16:50:41;systemUnknown
2712;npm;command;how to uninstall a global package;npm uninstall -g create-react-app;;;;;4.68;;learned;2020-05-13 05:57:06;2;2020-05-13 05:57:06;1;howToUninstallAGlobalPackage_npmUninstallGCreateReactApp;2020-05-10 16:50:41;systemUnknown
2713;vscode;feature;how to enable mouse wheel to switch tabs;ctrl-, scrollToSwitchTabs;;;;;2.5;;new;;0;;0;howToEnableMouseWheelToSwitchTabs_ctrlScrollToSwitchTabs;2020-05-10 16:50:41;systemUnknown
2714;react;command;how to install create-react-app with classes instead of functions;create-react-app my-app --scripts-version react-scripts@^2;;;;;2.5;;new;;0;;0;howToInstallCreateReactAppWithClassesInsteadOfFunctions_createReactAppMyAppScriptsVersionReactScripts2;2020-05-10 16:50:41;systemUnknown
2715;gimp;tip;if your menus disappear;edit > preferences > windows management > reset;;;;;2.5;;new;;0;;0;ifYourMenusDisappear_editPreferencesWindowsManagementReset;2020-05-10 16:50:41;systemUnknown
2716;linux;command;"list *only files* or *only directories* that begin with ""q"" EXCEPT FOR those in `node_modules`";"``` for directories: `find . -type d -iname ""q*"" -not -path ""./node_modules/*""`, and for files: `find . -type f -iname ""q*"" -not -path ""./node_modules/*""`";;;;;4.61;;learned;2020-05-15 04:21:59;8;2020-05-15 04:21:59;1;listAllFilesAndDirectoriesThatBeginWithR_lsDR;2020-05-10 16:50:41;systemUnknown
2717;gimp;howto;reduce the layer size to the content of what you drew;select layer > layer > crop to content;;;;;2.5;;new;;0;;0;reduceTheLayerSizeToTheContentOfWhatYouDrew_selectLayerLayerCropToContent;2020-05-10 16:50:41;systemUnknown
2718;bootstrap;tip;thick buttons as menu buttons;"<ul class=""nav nav-pills"">
    <li class=""nav-item"">
      <a class=""nav-link active"" href=""#"">Active</a>
    </li>
    <li class=""nav-item"">
      <a class=""nav-link"" href=""#"">Link</a>
    </li>
</ul>";;;;;4.77;;testing;2020-08-10 04:33:38;2;;0;responsibleMenu_ulClassnavNavPillsFlexColumnFlexMdRow;2020-05-10 16:50:41;systemUnknown
2719;gimp;tip;save content of layer at image;select layer > layer > crop to content > ctrl-c > ctrl-shift-v > ctrl-e;;;;;2.5;;new;;0;;0;saveContentOfLayerAtImage_selectLayerLayerCropToContentCtrlCCtrlShiftVCtrlE;2020-05-10 16:50:41;systemUnknown
2720;npm;tip;"what to do if you get the error ""Maximum call stack size exceeded on npm install""";npm cache clean --force;;;;;3.79;;testing;2020-08-05 04:58:36;6;;0;whatToDoIfYouGetTheErrorMaximumCallStackSizeExceededOnNpmInstall_npmCacheCleanForce;2020-05-10 16:50:41;systemUnknown
2721;sqlite;command;how to get how many records in each category;select category, count(*) as total from flashcards group by category order by total desc;;;;;4.99;;learned;2020-05-12 06:08:34;2;2020-05-12 06:08:34;1;howToGetHowManyRecordsInEachCategory_selectCategoryCountAsTotalFromFlashcardsGroupByCategoryOrderByTotalDesc;2020-05-10 19:02:18;systemUnknown
2722;npm;command;how to fix problems when e.g. sqlite3 can't be found ;npm update;;;;;4.14;;learned;2020-05-19 04:07:04;3;2020-05-19 04:07:04;1;npmUpdate_;2020-05-11 05:17:28;systemUnknown
2723;css;command;how to make it so that the user can't select text;"user-select: none;";;;;;2.5;;new;;0;;0;howToMakeItSoThatTheUserCantSelectText_userSelectNone;2020-05-12 11:59:07;systemUnknown
2724;git;command;how to see the name of commit and its files that are about to be pushed;git log --oneline -1 && git diff --stat --cached origin/master;;;;;5;;learned;2020-05-12 07:09:17;2;2020-05-12 07:09:17;1;howToSeeTheNameOfCommitAndItsFilesThatAreAboutToBePushed_gitLogOneline1GitDiffStatCachedOriginmaster;2020-05-12 11:59:07;systemUnknown
2725;linux;command;"create file listing all files with ""item"" in the name, but not in node_modules";"find . -iname ""*item*.js"" ! -path ""./node_modules/*"" > itemFiles.txt";;;;;4.91;;learned;2020-05-20 09:32:33;3;2020-05-20 09:32:33;1;createFileListingAllFilesWithItemInTheNameButNotInNodemodules_findInameItemjsNotPathNodemodulesItemFilestxt;2020-05-13 11:02:17;systemUnknown
2726;git;command;how to pull the file `testItemFiles.txt` back from staged to workspace;git reset HEAD testItemFiles.txt;;;;;4.43;;learned;2020-05-18 10:21:19;4;2020-05-18 10:21:19;1;howToPullOneFileBackFromStagedToUnstaged_gitResetHEADTestItemFilestxt;2020-05-13 15:44:15;systemUnknown
2727;git;command;how to see what files are staged;git status;;;;;4.47;;learned;2020-05-15 04:22:25;2;2020-05-15 04:22:25;1;howToSeeWhatFileAreStaged_gitStatus;2020-05-13 15:44:15;systemUnknown
2728;linux;command;how to stop process;``` `pkill -x node` (-x means to match name exactly);;;;;4.53;;learned;2020-05-18 04:36:40;4;2020-05-18 04:36:40;1;howToStopProcess_pkillXNodeXMeansToMatchNameExactly;2020-05-14 06:13:51;systemUnknown
2729;git;command;see what changes will be coming on next pull;``` `git diff origin/master` (it will also show local changed, i.e. the difference between local workspace and github apparently);;;;;4.3;;testing;2020-08-06 07:06:04;8;;0;seeWhatChangesWillBeComingOnNextPull_gitDiffOriginmaster;2020-05-14 06:13:51;systemUnknown
2730;linux;command;find all directories except for those in `node_modules` and `.git`;"find . -type d ! -path ""./node_modules/*"" ! -path ""./.git/*""";;;;;4.71;;learned;2020-05-18 04:13:30;2;2020-05-18 04:13:30;1;findAllDirectoriesExceptForThoseInNodemodulesAndGit_findTypeDPathNodemodulesPathGit;2020-05-14 10:28:38;systemUnknown
2731;css;command;grid with three boxes, 100px then half/half of rest, and the row 200px high;"```	`grid-template-columns: 100px 1fr 1fr;` AND `grid-template-rows: 200px;`";;;;;2.5;;new;;0;;0;gridWithThreeBoxes1pxThenHalfhalfOfRestAndTheRow2pxHigh_gridTemplateColumns1px1fr1frANDGridTemplateRows2px;2020-05-14 23:17:24;systemUnknown
2732;css;command;grid with three boxes, 100px then 1:3 but second column may not be smaller than 100px;"grid-template-columns: 100px minmax(100px, 1fr) 3fr;";;;;;2.5;;new;;0;;0;gridWithThreeBoxes1pxThen13ButSecondColumnMayNotBeSmallerThan1px_gridTemplateColumns1pxMinmax1px1fr3fr;2020-05-14 23:17:25;systemUnknown
