id,category,title,rank,body,extras,systemWhenCreated,systemWhoCreated
18,HTML5,Explore the newest HTML5/CSS3 features,4.3,"- )) make ""Showcase: New in HTML5/CSS3"" and work through [this tutorial](http://www.tothenew.com/blog/advanced-features-of-html5-and-css3/)
- localStorage",,2019-07-22 11:42:21,systemUnknown
19,JavaScript Testing,Get an example of Jest running,4.0,,,2019-07-22 11:42:21,systemUnknown
21,JavaScript,Try out GoJS library and create some graphs,4.1,"- )) make ""Showcase: GoJS Graphs""
- and work through the [examples here](https://gojs.net/latest/index.html)",,2019-07-22 11:42:21,systemUnknown
22,.NET Core,Set up developing environment and howtos for .NET Core programming,3.7,"- how to make each kind of project
- test on Linux as well",,2019-07-22 11:42:21,systemUnknown
23,TypeScript,Get minimal TypeScript working with automatic compiling in VSCode,4.5,"- find tutorial
	- https://www.typescriptlang.org/docs/handbook/typescript-in-5-minutes.html
- install by itself 
	- created directory `ts`
	- get bash here
	- `npm install typescript`
	- make `test.ts` file
		--------------------------
		class Student {
			fullName: string;
			constructor(public firstName: string, public middleInitial: string, public lastName: string) {
				this.fullName = firstName + "" "" + middleInitial + "" "" + lastName;
			}
		}

		interface Person {
			firstName: string;
			lastName: string;
		}

		function greeter(person: Person) {
			return ""Hello, "" + person.firstName + "" "" + person.lastName;
		}

		let user = new Student(""Jane"", ""M."", ""User"");

		document.body.textContent = greeter(user);
		--------------------------
	- `tsc test.ts`
	- look at test.js
	- check with `npm list typescript` and `npm list -g typescript`
	- do this: https://code.visualstudio.com/docs/editor/tasks
		- `tsc --init`
		- question: https://stackoverflow.com/questions/56972740/how-can-i-fix-the-segmentation-fault-error-in-visual-studio-codes-terminal
			- doesn't look like it will be answered
	- ask question: What is the easiest way to set up tasks for Node/Vue.js project in Visual Studio Code?
		- https://stackoverflow.com/questions/56984244/what-is-the-easiest-way-to-set-up-tasks-for-node-vue-js-project-in-visual-studio
		- no answer
	- get simple example to work
		- we have ""typescript"": ""^3.5.3"", installed
		- get simple compile to work again
			- making simple isolated TypeScript Howto
				- make directory `testts`
				- get-bash-here into it
				- `npm install typescript`
				- doing this: https://www.typescriptlang.org/docs/handbook/typescript-in-5-minutes.html
					- create `person.ts`:
						------------------------
						interface Person {
							firstName: string;
							lastName: string;
						}

						function displayWelcomeMessage(person: Person) {
							return `Hello, ${person.firstName} ${person.lastName}.`;
						}					
						------------------------
					- create `index.htm`:
						--------------------------
						<!DOCTYPE html>
						<html>
							<head><title>TypeScript Test</title></head>
							<body>
								<div id=""message"">(no message)</div>
								<script src=""person.js""></script>
								<script>
									const user = { firstName: ""Hans"", lastName: ""Tester"" };
									document.getElementById('message').innerHTML = displayWelcomeMessage(user);
								</script>
							</body>
						</html>						
						--------------------------
				- execute `tsc person.ts`
					- note that `person.js` was created and is the JavaScript version of the TypeScript file
				- look at `index.htm` in a browser
	- make Showcase: TypeScript
		- first same as above
		- problem: TypeScript doesn't seem to work in the `require()` environment, see `typeScript\systemControllers`, etc.
		- figure out how to get it to work in this environment
			- )) do [v2b TypeScript video](https://www.linkedin.com/learning/l-essentiel-de-typescript-2/decouvrir-les-decorateurs) and other videos of TypeScript
- next
	- auto compiling with vscode
	- restart with [this tutorial](https://mobilemancer.com/2015/12/17/running-tasks-in-visual-studio-code/)
	- v2b videos: grunt",$place=hm,2019-07-22 11:42:21,systemUnknown
24,virtual machines,"Try out all three virtual machine softwares: Hyper-V, VirtualBox and VMWare",3.1,,,2019-07-22 11:42:21,systemUnknown
25,CSS,Understand when you would use CSS grids,4.1,"- )) [get an overview here](https://www.w3schools.com/css/css_grid_container.asp)
- and then move on to more complex examples of real-life uses of grids",$idCode=cssGrids,2019-07-22 11:42:21,systemUnknown
26,CSS,make examples using display:flex,4.35,"- )) make ""Showcase: Flexbox""
- work through [this tutorial](https://vegibit.com/css-flexbox-tutorial/)",,2019-07-22 11:42:21,systemUnknown
27,JavaScript,Get a useful example of ES6 promises to work,4.3,"- working through: https://codeburst.io/a-simple-guide-to-es6-promises-d71bacd2e13a
	- callbacks suffer from problems like Callback Hell and Pyramid of Doom
		- promises are a pattern that greatly simplifies asynchronous programming by making the code look synchronous and avoid problems associated with callbacks
	- a promise is a container for a future value
		- like a plane ticket, the ticket is a placeholder for a future value, namely, the seat
	- created simple ""Showcase ES6 Promise"" in Datapod
		- but it is not a useful example that could be applied to anything
- working through example with timeout: http://jamesknelson.com/grokking-es6-promises-the-four-functions-you-need-to-avoid-callback-hell/
	- up until promises arrived, developers in JavaScript land had been using callbacks
	- an example of callback hell, or callback pyramids:
		----------------------
		runAnimation(0);
		setTimeout(function() {
			runAnimation(1);    
			setTimeout(function() {
				runAnimation(2);
			}, 1000);
		}, 1000);
		----------------------
	- the above code is still readable, but if you had e.g. 5+ animations, it becomes more difficult to read
	- note: **callbacks are functions, promises are objects**
	- handlers passed to `promise.then` don't just handle the result of the previous promise, but rather, whatever they return is turned into a new promise
	- chained promises no longer cause callback pyramids, no matter how many levels of callback hell you’d be in for, the equivalent promises code is flat
- working through this article: https://www.eventbrite.com/engineering/learning-es6-promises
	- getting example to work on frontend
	- a promise is settled (the async operation has completed) if it is either fulfilled or rejected
- do a real world example with getting data
	- working through this article: https://medium.com/@trekinbami/its-not-magic-using-es6-promises-in-javascript-cd0100a81e14
	- post question regarding timeOut
- **question with good answers at Stack Overflow**
	- https://stackoverflow.com/questions/57305870/what-do-i-need-settimeoutresolve-in-my-javascript-data-loading-promise
- ** two showcases and code
	- [Showcase: ES6 Promise Code](showcaseEs6Promise)
	- [Showcase: Load Data with Promises](showcaseLoadDataWithPromises)
- basic promise code
	----------------------
	const thePromise = new Promise((resolve, reject) => {
		const result = Math.random() * 100;
		if (result <= 50) {
			resolve('promise kept: ' + result);
		}
		reject('promise not kept');
	});

	const onResolved = (resolvedValue) => console.log(resolvedValue);
	const onRejected = (error) => console.log(error);

	thePromise.then(onResolved, onRejected);

	const that = this;
	this.someProcess(1000)
		.then(function () {
			qdev.debug('111');
			return that.someProcess(1000);
		})
		.then(function () {
			qdev.debug('222');
			return that.someProcess(1000);
		})
		.then(function () {
			qdev.debug('333');
		});
	----------------------
- Code for using using with Axiom:
	-----------------------------
	initialize: function () {
		// call promises in sequence
		this.loadData('data1')
			.then(() => this.loadData('data2'))
			.then(() => this.loadData('data3'))
			.then(() => this.loadData('data4'))
			.then(() => this.loadData('data5'));
			
		// call promises in parallel
		Promise.all([
			this.loadData('data1'),
			this.loadData('data2'),
			this.loadData('data3'),
			this.loadData('data4'),
			this.loadData('data5')
		]);
	},
	loadData: function (idCode) {
		this.pageStatus = 'busy';
		const that = this;
		return axios({
			method: 'post',
			url: 'controllerShowcaseLoadDataWithPromises',
			data: {
				action: 'loadData',
				idCode: idCode
			}
		}).then(function (responseObject) {
			const response = qsys.getResponse(responseObject);
			that[idCode] = response.data.message;
			that.numberLoaded++;
			if (that.numberLoaded >= 5) {
				that.pageStatus = 'ready';
			}
		}).catch(function (error) {
			that.pageStatus = 'failed';
		});
	}
	-----------------------------
- %% made two Showcases, particularly [Showcase: Load Data with Promises](http://localhost:49900/showcaseLoadDataWithPromises) is useful",,2019-07-30 14:58:59,systemUnknown
29,vscode,Figure out how to run macros in Visual Studio Code,4.0,"- )) start with [this tutorial](https://marketplace.visualstudio.com/items?itemName=geddski.macros)
- the best would be where you can record them so that they would be automatically written to a script",,2019-08-14 13:44:13,systemUnknown
30,JavaScript Frameworks,Research the best JavaScript Frameworks to explore and learn,4.4,- )) prepare by collecting from techItems,,2019-08-14 14:29:59,systemUnknown
32,JSFiddle,Try out all features on JSFiddle,4.1,"- load all libraries and try them all out
- google for jsfiddle <libraryName>",,2019-08-14 15:09:00,systemUnknown
34,Disqus,Setup disqus on a site,4.3,- )) work through [this tutorial](https://www.webnots.com/how-to-add-disqus-to-your-website/),$place=hm,2019-08-14 17:07:25,systemUnknown
35,JavaScript,Get ten search-and-replace examples working JavaScript regex,4.2,"- use this basic code
	---------------------------
	const searchMask = theSearchTerm;
	const regEx = new RegExp('(' + searchMask + ')', ""ig"");
	const replaceMask = '<span class=""searchHighlight"">$1</span>';
	r = r.replace(regEx, replaceMask);
	---------------------------
- do examples for sophsticated text parsing, e.g.
	- highlight search text (as above)
	- in showcase with datapod items, e.g. I read the book @@showcaseBook(sevenHabits), you can ask @@user(jimsmith) about it.",,2019-08-16 15:16:27,systemUnknown
36,Bootstrap 4,Research the 10 most useful new features of Bootstrap 4,4.62,"- )) make Showcase: New in Bootstrap 4
- work through [this tutorial](https://auth0.com/blog/whats-new-in-bootstrap4)",,2019-08-21 15:52:43,systemUnknown
37,Git,Setup a Git repository and push and pull from two code areas,5.0,"- set up a simple [TypeScript site](howtos?id=47)
	- then work though the main [main Git documentation](https://git-scm.com/book/en/v2)
		- continue reading [here](https://git-scm.com/book/en/v2/Git-Basics-Getting-a-Git-Repository)
	- check it into a Git repository
	- check it out somewhere else
	- use also Github
	- also from within Visual Studio Code
- now trying [this tutorial](https://www.godo.dev/tutorials/local-git-server/)
	- on ubuntu
		- connecting on `http://192.168.241.3:49903` works
		- install git: `apt-get install git`
			- Could not open lock file
			- reboot
			- `sudo apt-get install git`
			- `git --version` = 2.17.1
	- made web directory with one file
		- `git init`
		- `git add *.*`
		- `git commit -m 'initial commit'`
		- `git log --pretty=oneline`
		- `git log --pretty=format:""%h %s - %an""`
- here is a [tutorial on setting up Git for multiple users](https://shapeshed.com/setting-up-git-for-multiple-developers/)
	- had to create public key etc.
- working further in the main Git tutorials
	- `git tag -a v1.0 -m ""Version 1.0""`
- this [tutorial](https://product.hubspot.com/blog/git-and-github-tutorial-for-beginners) shows you how to set up at Github
- how to set up [git in vscode](https://www.google.com/search?q=how+to+setup+git+in+visual+studio+code&rlz=1C1CHBF_deDE791DE791&oq=how+to+setup+git+in+vis&aqs=chrome.0.0j69i57j0l4.3358j0j1&sourceid=chrome&ie=UTF-8)	
- also, set up git on two computers connected via GitHub
- or how to [push to local network drive](https://stackoverflow.com/questions/11635493/push-git-changes-to-a-shared-network-drive)
- %% got this going well, basically everything is recorded in [this howto](howtos?id=58)",,2019-08-21 16:16:10,systemUnknown
38,Audio,Make a showcase for audio with howto for Audacity,4.3,"- )) make ""Showcase: Webiste Audio"" with flashcards that have audio
- make a howto for how to record with audacity, where to save, etc.",$place=hm,2019-08-21 16:54:23,systemUnknown
39,Video,Find a useful alternative to Windows Movie Maker,3.9,- )) read this [this article](https://www.ionos.com/digitalguide/online-marketing/online-sales/windows-movie-maker-alternatives),$place=hm,2019-08-21 16:54:23,systemUnknown
40,sqlite,Grok windows functions in SQLite and get examples working,2.1,- )) start here: [SQL Windows Functions](https://www.sqlitetutorial.net/sqlite-window-functions),,2019-08-27 22:15:02,systemUnknown
41,Regex,Learn deeper about JavaScript Regex functions,4.7,"- )) start with these videos:
	- https://www.youtube.com/watch?v=OhHlfR2gdE0
	- https://www.youtube.com/watch?v=t029QcVHtas
	- https://www.youtube.com/watch?v=fdyqutmcI2Q",$place=hm,2019-09-04 15:19:26,systemUnknown
42,Bootstrap 4,Do Showcase: Bootstrap 4 Cards,4.6,"- )) start with [this tutorial](https://getbootstrap.com/docs/4.0/components/card/)
- particularly see this:
	- [tabs within card](https://getbootstrap.com/docs/4.0/components/card/#navigation)
	- shocase",,2019-09-04 16:45:27,systemUnknown
43,Bootstrap 4,Make Showcase: Bootstrap 4 Model with Background Fade,4.7,"- )) start [here](shocasehttps://www.w3schools.com/bootstrap4/bootstrap_modal.asp)
	- make example with sending data as well, e.g. a page login",,2019-09-04 16:45:27,systemUnknown
44,Node,Make Showcase: Screen Scraping,4.9,"- start with [this tutorial](https://blog.bitsrc.io/https-blog-bitsrc-io-how-to-perform-web-scraping-using-node-js-5a96203cb7cb)
	- checking if axios is there, in package.json
		- no axios is not in the list
	- installing both in backend: `npm install axios cheerio`
		- package.json: both in
	- %% code worked immediately, very nice, see [Showcase: Screen Scraping](showcaseScreenScraping)",,2019-09-06 15:39:13,systemUnknown
45,apis,try out verbix API,4.5,"- )) try out the [Verbix API](https://api.verbix.com)
- make showcase",,2019-09-30 15:41:49,systemUnknown
46,Ubuntu,Install Ubuntu in VirtualBox,4.6,"- working through [howto](https://itsfoss.com/install-linux-in-virtualbox)
	- getting ISO from [here](https://ubuntu.com/desktop)
	- downloading **Ubuntu 18.04.3 LTS**, 1.9 GB
		- downloaded `ubuntu-18.04.3-desktop-amd64.iso`
	- setup machine
		- click [[New]] icon
		- type `Ubuntu`
		- all defaults, create dynamic VDI disk 
	- start machine
		- `FATAL: No bootable medium found!`
		- Geräte, Optische Laufwerke, Abbild##abbildokgetiso
		- start again
			- runs for 2 minutes
		- choose **Install**
			- all defaults
			- takes a few minutes, black screen
			- after five minutes of black screen, restarted virtual machine
	- installing again
		- unchecked **Download updates while installing Ubuntu**
		- black screen and odd-looking mouse cursor again
		- got out of memory error##gotmemerrorout
		- turned off machine
	- installing again
		- changed memory from 1024 (!) to 4096
		- started machine
			- faster now
		- `Erase disk and install Ubuntu` and [[Install Now]]
		- `Who are you?`
			- Test User
			- ubuntu001
			- test
			- password: test
		- installed for 4 minutes
		- [[Restart Now]]
- first log in
	- `Please remove the installation medium`
		- stopped removed and restarted
	- logged in as `test`
- installing virtual box extensions
	- added ISO to drive
	- right-clicked on ISO icon and `open in termainl`
		- `sudo ./VBoxLinuxAdditions.run`
			---------------------
			This system is currently not set up to build kernal modules.
			Please install the gcc make perl packages from your distribution.
			---------------------
		- `sudo ./autorun.sh` does same
	- executing `sudo apt install virtualbox-guest-utils virtualbox-guest-dkms`
		- taking more than three minutes to install
		- then `sudo ./VBoxLinuxAdditions.run` again
		- restart
		- you can now resize the screen
	- made screenshow `BASE`
- %% Ubuntu virtual machine works well, 4GB was important and note how to install the guest additions",,2019-10-23 09:26:30,systemUnknown
47,DPN,Setup Datapod on Ubuntu virtual machine,4.5,"- installing node
	- `sudo apt-get install nodejs`
		- if you get `Could not get lock /var/lib/dpkg/lock`
			- restart
			- worked
	- version is v8.10.0
	- npm was not installed
- installing npm
	- `sudo apt install npm`
	- version 3.5.2
- test node
	- made nodewebs
	- make `server.js`
		-----------------------------------
		var http = require('http');
		http.createServer(function (req, res) {
		  res.writeHead(200, {'Content-Type': 'text/plain'});
		  res.end('Hello World\n');
		}).listen(3000, ""127.0.0.1"");
		console.log('Server running at http://127.0.0.1:3000/');
		-----------------------------------
- setting up connected drive
	- set it to `C:\edward\ubshare`
	- restart
	- it's on the desktop
- installing Notepad++
	- windows key
	- ubuntu software
	- search install
- installing visual studio code
	- via unbuntu software
		- this seems to be available only after node is installed
		- if not available then install it like this: `sudo snap install --classic code`
- install dpod
	- download [dpod](http://tanguay.info/tech/datapodForNode) and unzip in `nodewebs/test001`
	- unzip
	- `npm install`
	- in browser: `http://localhost:49901`
- start with nodemon
	- `sudo npm install g nodemon`
	- `nodemon server.js`
- install sqlitebrowser (same as DB Browser on Windows)
	- vi unbuntu software
- %% everything installed fine, found all software even DB Browser",,2019-10-23 11:24:56,systemUnknown
48,Ubuntu,Try out 50 best apps on Ubuntu,4.6,- )) start with [this overview](https://itsfoss.com/best-ubuntu-apps),,2019-10-23 13:10:23,systemUnknown
49,Ubuntu,Connect VirtualBox Ubuntu in network with Windows host,4.7,"- working through [this workshop](https://technology.amis.nl/2017/01/29/network-access-to-ubuntu-virtual-box-vm-from-host-laptop)
- global tools
- create
	- IPv4-Address: 192.168.241.1
- then add host-only adapter
	- in the machine, you can go to http://192.168.241.1 and access the host machine
	- works but you can't get online
	- but then added another adapter: network bridge, realttek USB GbE Family Controller
	- now both work
- from host to virtual machine
	- in virtual machine: `ifconfig`
	- 192.168.30.103, works
- %% VirtualBox Ubuntu machine can access host via http ip and host can access virtual machine via http ip",,2019-10-23 13:33:59,systemUnknown
51,Networking,Connect computers via WLAN,4.9,- )) start with [this tutorial](https://www.online-tech-tips.com/computer-tips/how-to-connect-two-computers-or-laptops-wirelessly/),$place=hm,2019-10-23 14:49:56,systemUnknown
52,SED,Learn SED Basics,3.9,"- basics
	- get files 
		- `cp /usr/share/common-licenses/BSD .`
		- `cp /usr/share/common-licenses/GPL-3 .`
	- get first five lines
		- `sed -n '1,5p' BSD`
	- print every other line
		- `sed -n '1~2p' BSD`
	- delete every other line
		- `sed '1~2d' BSD`
	- delete every other line and save it to a new file
		- `sed '1~2d' BSD > everyother.txt`
	- delete every other line and save changes in that file
		- `sed -i '1~2d' everyother.txt`
	- make backup first, then delete every other line and save changes in that file
		- `sed -i.bak '1~2d' everyother.txt`
	- replace all ""a"" with ""x"" (/g is for all matches in line, not just the first)
		- `sed 's/a/x/g' BSD`
	- replace 'and' with '***' and print out the lines in which there were changes
		- `sed -n 's/and/***/gp' BSD`
	- same thing as case-insensitive
		- `sed -n 's/and/***/gpi' BSD`
	- use regular expressions, e.g. change ""and"" only at the beginning of a line
		- `sed -n 's/^and/***/gpi' BSD`
	- put brackets around ""and""
		- `sed -n 's/and/[&]/gpi' BSD`
	- if you have text with slashes, use another character as the divider
		- `echo ""files/version001/index.html"" | sed 's_files/version_files/BLANK_'`
- pipe output of commands to SED
	- replace all digits with stars in a directory listing (you can't use \d)
		- `ls -al | sed 's/[[:digit:]]/*/g'`
	- erase the time from a directory listing
		- `ls -al | sed 's/[[:digit:]][[:digit:]]:[[:digit:]][[:digit:]]\s//g'`
	- don't list directories
		- `ls -al | sed '/^d/d'`
- sed scripts
	- create file `dirparse.sed`:
		---------------------------
		/^d/d
		s/[[:digit:]][[:digit:]]:[[:digit:]][[:digit:]]\s//g
		---------------------------
	- then run: `ls -al | sed -f dirparse.sed`
- create a command with script
	- `alias ld=""ls -al | sed -f ~/work/sed/dirparse.sed`
- %% these are sed basics",,2019-10-25 12:51:26,systemUnknown
53,awk,Learn basic AWK commands,3.8,"- make test file (with tabs):
	------------------------
	Jim     Smith   102
	John    Adams   321
	Hans    Gilder  834
	Wayne   Ahilder 821
	------------------------
- list all records with an ""s"" in specific format
	- `awk '/s/ {IGNORECASE=1; print $2, $1 ""\t"" $3}' data.txt`
- download [customers.csv](https://github.com/bitnine-oss/import-northwind)
	- download full file
	- unzip and get customers.csv out
	- not the delimiters are pipe (|)
- list out columns in certain format
	- `awk -F ""\|*"" '{print $3 "" ("" $4 "")""}' customers.csv`
- )) continue on [here](https://www.tutorialspoint.com/awk/awk_basic_examples.htm)",,2019-10-25 16:40:55,systemUnknown
54,Angular,Watch Quickly through Angular 8 Video Series,4.9,"- )) watch [Angular 8 videos on Code Evolution](https://www.youtube.com/watch?v=0eWrpsCLMJQ&list=PLC3y8-rFHvwhBRAgFinJR8KHIrCdTkZcZ)
- take rough notes, get main concepts",$place=hm,2019-10-26 12:49:27,systemUnknown
55,Find Forays,"Find forays at Grafikart.fr, Code Evolution and Net Ninja",4.8,"- )) Scan and watch videos at [Grafikart.fr](https://www.youtube.com/user/grafikarttv/playlists)
- Also look through [Code Evolution](https://www.youtube.com/channel/UC80PWRj_ZU8Zu0HSMNVwKWw/playlists) and [Net Ninja](https://www.youtube.com/channel/UCW5YeuERMmlnqo4oq8vwUpg/playlists)",$place=hm,2019-10-26 12:52:35,systemUnknown
56,Github,Install and try out Github desktop,4.1,- )) download [Github desktop](https://desktop.github.com) and install,,2019-11-04 16:41:43,systemUnknown
57,Windows,Learn the basics of MMC,3.8,"- identify the usefulness of MMC on Windows
- )) start with [these videos](https://www.google.com/search?q=windows+10+mmc+tutorial&rlz=1C1CHBF_deDE791DE791&sxsrf=ACYBGNQP14waA4oo6o5kz9dx2GO2yYcJlQ:1574942266828&source=lnms&tbm=vid&sa=X&ved=2ahUKEwi5keyS7YzmAhWSLFAKHbdaCLgQ_AUoAXoECAwQAw&biw=1154&bih=635)",,2019-11-28 12:59:07,systemUnknown
58,GitHub,Learn the basics of tags and releases,3.7,- )) start with [these videos](https://www.google.com/search?q=github+tags+and+releases&rlz=1C1CHBF_deDE791DE791&sxsrf=ACYBGNTW0BL0qEIroMFHL8MnuwmarqELoA:1574951802661&source=lnms&tbm=vid&sa=X&ved=2ahUKEwiGofHVkI3mAhWR6aQKHaZ8BlYQ_AUoA3oECA8QBQ&biw=1154&bih=635),$place=hm,2019-11-28 15:40:06,systemUnknown
59,vi,Record 10 useful flashcards for vi,4.1,- )) start with [this workshop](http://jerrywang.net/vi),,2019-11-29 13:37:07,systemUnknown
60,Git,Record 10 useful git commands as flashcards,4.8,- )) start with [this workshop](https://www.git-tower.com/learn/git/faq/change-author-name-email),,2019-11-29 13:40:17,systemUnknown
