id,category,title,body,points,extras,systemWhenCreated,systemWhoCreated
13,regex,"In Notepad++ and VSCode, replace all varied brackets at the beginning of lines in a todo list with a simple hyphen","- in Notepad++ copy in this text
	----------------------
	[x] get money
	[] go to the store
	[..] install software
	[] get books
	[x] check out new book on Amazon
	[..] go to bank
	[] replace all [] with [x] in main todo list
	[] organize shelf
	[] clean desk
	----------------------
- you want to make it look like this:
	----------------------
	-  get money
	-  go to the store
	-  install software
	-  get books
	-  check out new book on Amazon
	-  go to bank
	-  replace all [] with [x] in main todo list
	-  organize shelf
	-  clean desk
	----------------------
- search and replace `\[.*\] ` with `- `
- notice that it also deletes those in the middle of the line, which was not your intention
- and notice that it what it means to be ""greedy""
	- if you wanted to take these out as well, then you would have to tell it to be non-greedy: `\[.*?\] `
- but you want to only replace those at the beginning of the line, so do this: `^\[.*\] `
- do the same thing in Visual Studio Code and notice that you can see the selections as you type the regular expression",40,,2019-04-20 14:58:21,systemUnknown
14,regex,Indent blocks of lines below specific lines in a text,"- you want to indent each of the lines after lines that start with ""TEXT ??""
	------------------------------
	TEXT 01 - This is a text about nnnnnn
	This is an item.
	This is some information.
	TEXT 02 - This is a text about nnnnnn
	This is an item.
	This is some information.
	This is an item.
	This is some information.
	TEXT 03 - This is a text about nnnnnn
	This is an item.
	This is some information.
	TEXT is an item.
	This is some information.
	This is an item.
	This is some information.
	------------------------------
- try in Visual Studio Code, Notepad++ and Regex101
	-----------------
	search: ^(?!TEXT \d\d)
	replace: \t- 
	-----------------
- explanation: `?!` is called ""negative look ahead"", i.e. searches for text that does not occur after another marker, in this case, the beginning of the line (`^`)",30,$rank=4.7,2019-04-20 14:58:21,systemUnknown
15,sqlite,Create table in DB Browser for SQLite,"- download and install [DB Browser for SQLite](https://sqlitebrowser.org/)
- create table
	------------------------------------
	CREATE TABLE ""howtos"" (
		`id` INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT UNIQUE,
		`category` TEXT,
		`title` TEXT,
		`body` TEXT,
		`systemWhenCreated` TEXT,
		`systemWhoCreated` TEXT
	)
	------------------------------------
- add and sort data",20,$rank=4.6,2019-04-20 15:03:03,systemUnknown
18,vscode,How to search and replace in a selection,"- `CTRL-H`
- select text
- click ""Find in selection"" icon on right
- enter find and replace strings
- click replace-all icon",10,$rank=4.5,2019-04-20 19:07:30,systemUnknown
22,less,How to install and set up less in VSCode,"- intro, you have:
	--------------------------
	<!DOCTYPE html>

	<head>
		<title>test</title>
		<link rel=""stylesheet"" href=""css/main.css"">
	</head>

	<body>
		<h4>Main Info</h4>
		<p>This is the info.</p>
		<h4>More Info</h4>
		<p>This is more info. This is more info. This is more info. This is more info.</p>
	</body>

	</html>
	--------------------------
- with css:
	---------------------------
	h4 {
		background-color: navy;
		color           : yellow;
	}

	p {
		color: navy;
	}
	---------------------------
- `npm install -g less`
- `npm install -g less-watch-compiler`
- `less-watch-compiler less css`
- or make file in root: `less-watch-compiler.config.json`
	------------------------------
	{
		""watchFolder"": ""less"",
		""outputFolder"": ""public""
	}	
	------------------------------
- type: `less-watch-compiler`
- note: I fixed an error once with: `npm install -g less`
- less can now be:
	--------------------------
	@color_main: green;

	h4 {
		background-color: @color_main;
		color           : yellow;
	}

	p {
		color: @color_main;

		b {
			color: red; 
		}
	}
	-------------------------------",20,$rank=4.6,2019-04-27 18:20:54,systemUnknown
23,regex,Remove and replace XML attributes from XML elements with regex,"	- copy the following text into Notepad++
		--------------------------------------
		<?xml version=""1.0"" encoding=""utf-8"" ?>	
		<reports>	
			<report idCode=""2018"">	
				<item date=""2018-12-13"" revision=""1954"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-11"" revision=""34534"" dev=""christiana"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""323"" dev=""robert"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""2348"" dev=""christiana"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""9780"" dev=""steffen"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""23323"" dev=""steffen"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""1954"" dev=""steffen"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""193254"" dev=""christiana"" category="""" type=""Security""/>
				<item date=""2018-12-12"" revision=""19234"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""1954"" dev=""anna"" category="""" type=""New Feature""/>
				<item date=""2018-12-12"" revision=""193254"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""19233"" dev=""robert"" category="""" type=""New Feature""/>
				<item date=""2018-12-12"" revision=""19325"" dev=""anna"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""12954"" dev=""robert"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""1915"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""s-1914"" dev=""steffen"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""1954"" dev=""anna"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""2342"" dev=""steffen"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""s-1234"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""3434"" dev=""christiana"" category="""" type=""New Feature""/>
				<item date=""2018-12-12"" revision=""2343"" dev=""christiana"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""2343"" dev=""steffen"" category="""" type=""Enhancement""/>
			</report>
		</reports>
		--------------------------------------
	- consider: how would you remove all the `revision` attributes?
	- delete the `revision` tags
		- `revision=""\d*""`
			- doesn't get the ones that start with `s-`
				- so try this: revision=`(s-)?\d*`
		- search and replace in Notepad++
	- delete the `dev` tags
		- `dev="".*""`
		- note that it is too greedy, so use:
			- `dev="".*?""`
		- search and replace in Notepad++
	- copy this text into Notepad++ again:
		--------------------------------------
		<?xml version=""1.0"" encoding=""utf-8"" ?>
		<reports>	
			<report idCode=""2018"">	
				<item date=""2018-12-13"" revision=""1954"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-11"" revision=""34534"" dev=""christiana"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""323"" dev=""robert"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""2348"" dev=""christiana"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""9780"" dev=""steffen"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""23323"" dev=""steffen"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""1954"" dev=""steffen"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""193254"" dev=""christiana"" category="""" type=""Security""/>
				<item date=""2018-12-12"" revision=""19234"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""1954"" dev=""anna"" category="""" type=""New Feature""/>
				<item date=""2018-12-12"" revision=""193254"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""19233"" dev=""robert"" category="""" type=""New Feature""/>
				<item date=""2018-12-12"" revision=""19325"" dev=""anna"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""12954"" dev=""robert"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""1915"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""s-1914"" dev=""steffen"" category="""" type=""Bug""/>
				<item date=""2018-12-12"" revision=""1954"" dev=""anna"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""2342"" dev=""steffen"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""s-1234"" dev=""robert"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""3434"" dev=""christiana"" category="""" type=""New Feature""/>
				<item date=""2018-12-12"" revision=""2343"" dev=""christiana"" category="""" type=""Enhancement""/>
				<item date=""2018-12-12"" revision=""2343"" dev=""steffen"" category="""" type=""Enhancement""/>
			</report>
		</reports>
		--------------------------------------
	- now you want to replace the number in revision with `0000`
		- search for: `revision=""(.*?)""`
		- replace with: `revision=""0000""`
	- undo
	- now you want to reuse what you remove in a different way
		- e.g. replace `revision=""xxxx""` with `revision=""01"" ticket=""xxxx""`
			- search for: `revision=""(.*?)""`
			- replace with: `revision=""0000""`",25,,2019-05-13 14:07:02,systemUnknown
24,JavaScript,How to determine if a string contains another string with browser-compatibility,"- use .includes()
	--------------------------
	<!DOCTYPE html>
	<html>
	<head>
		<script src=""https://code.jquery.com/jquery-2.2.4.min.js""></script>
	</head>
	<body>
		<div id=""message"">first</div>

		<script>
			$(function () {
				const name = ""this is a test"";
				if (name.includes('nnn')) {
					$('#message').html('yes');
				} else {
					$('#message').html('no');
				}
			});
		</script>
	</body>
	</html>	
	--------------------------
- check in Internet Explorer 11
	- gets error
	- fix with this:
		-------------------------
		if (name.indexOf('nnn') !== -1) {
		-------------------------
- this points out why you have to be aware what JavaScript function you use, since Internet Explorer often doesn't support it
	- see: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/includes",20,$rank=3.7,2019-05-13 13:27:30,systemUnknown
25,regex,Search and replace with regular expressions,"- in **Notepad++**, you have a text such as:
	------------------------
	this and sand and band ok
	------------------------
	- you want to search for the word `and` and replace it with `or`
	- the problem is that you will also change `sand` to `sor`, etc.
- therefore, use regular expressions:
	- search for: `\band\b`
	- replace with: `or`
- also possible in **Visual Studio Code** and **Google Drive**",5,$rank=4.5,2019-04-27 16:06:52,systemUnknown
26,jquery,Make word flashcards with jQuery,"- build up from jquery to regex and dynamic regex:
	-----------------------------
	<!doctype html>
	<html>
	<head>
	   <script src=""https://code.jquery.com/jquery-2.2.4.min.js""></script>
	   <style>
		.back {
			display: none;
			background-color: #ddd;
		}
		.front {
			background-color: #eee;
			cursor: pointer;
		}
	   </style>
	</head>

	<body>
		<div id=""main"">
		111 This is a test of regex <span class=""front"">front</span><span class=""back"">the back</span>.

		222 This is a test of regex [front/back]. This is also a test of [111/222].

		</div>

		<script>
			$(function() {
				//const mainHtml = $(""#main"").html();

				// BASIC REGEX
				// TEXT: This is the text.
				// const parsedHtml = mainHtml + ""nnn"";
				// const parsedHtml = mainHtml.replace(/(text)/, '<i>$1</i>'); 

				// WITH WORD FLASHCARD
				// TEXT: This is a test of regex [front/back]. 
				// build this at regex101: \[(.*)\/(.*)\]
				// const parsedHtml = mainHtml.replace(/\[(.*)\/(.*)\]/, '(<span style=""color: red"">$1</span>) (<span style=""color: green"">$1</span>)'); 

				// MULTIPLE
				// TEXT: This is a test of regex [front/back]. This is also a test of [111/222].
				// add ungreedy: https://stackoverflow.com/questions/2824302/how-to-make-regular-expression-into-non-greedy
				// const parsedHtml = mainHtml.replace(/\[(.*?)\/(.*?)\]/g, '(<span style=""color: red"">$1</span>) (<span style=""color: green"">$1</span>)'); 

				// INTERACTIVE TEST FIRST
				// TEXT: This is a test of regex <span class=""front"">front</span><span class=""back"">the back</span>.
				// const parsedHtml = mainHtml.replace(/\[(.*?)\/(.*?)\]/g, '(<span style=""color: red"">$1</span>) (<span style=""color: green"">$1</span>)'); 

				// COMBINE WITH REGEX
				// TEXT: This is a test of regex [front/back]. This is also a test of [111/222].
				//const parsedHtml = mainHtml.replace(/\[(.*?)\/(.*?)\]/g, '<span class=""front"">$1</span><span class=""back"">$1</span>'); 

				// dollar-sign jquery variables: https://stackoverflow.com/questions/205853/why-would-a-javascript-variable-start-with-a-dollar-sign
				//$(""#main"").html(parsedHtml);
			});

			//$(function() {
			$(document).ready(function () {

				const mainHtml = $(""#main"").html();
				const parsedHtml = mainHtml.replace(/\[(.*?)\/(.*?)\]/g, '<span class=""front"">$1</span><span class=""back"">$1</span>'); 

				$(""#main"").html(parsedHtml);

				//alert('works');
				//$('.front').css('color', 'blue');
				//$('.front').click(function() {
				$(document).on('click','.front', function() {
					//alert('clicked');
					const $front = $(this);
					$front.hide();
					const $back = $front.next();
					$back.show();
				});
			});

		</script>

	</body>
	</html>	
	-----------------------------
- this is the final code that works with a one-way click flip
	-------------------------------------------
	<!doctype html>
	<html>
	<head>
	   <script src=""https://code.jquery.com/jquery-2.2.4.min.js""></script>
	   <style>
		.back {
			display: none;
			background-color: #ddd;
		}
		.front {
			background-color: #eee;
			cursor: pointer;
		}
	   </style>
	</head>
	<body>
		<div id=""main"">
			<p>THIS WORKS: <span class=""front"">front</span><span class=""back"">the back</span>.</p>
			<p>this does not work: This is a test of regex [front/back]. This is also a test of [fff/bbb]. This is also a test of [111/222].</p>	
		</div>

		<script>
			$(document).ready(function () {
				const mainHtml = $(""#main"").html();
				const parsedHtml = mainHtml.replace(/\[(.*?)\/(.*?)\]/g, '<span class=""front"">$1</span><span style=""display:none"" class=""back"">$2</span>'); 
				$(""#main"").html(parsedHtml);

				$(document).on('click','.front', function() {
					const $front = $(this);
					$front.hide();
					const $back = $front.next();
					$back.show();
				});
			});
		</script>
	</body>
	</html>
	-------------------------------------------
- and this is the two-way flip click
	------------------------------------
	<!doctype html>
	<html>
	<head>
	   <script src=""https://code.jquery.com/jquery-2.2.4.min.js""></script>
	   <style>
		.back {
			display: none;
			background-color: #ddd;
			cursor: pointer;
		}
		.front {
			background-color: #eee;
			cursor: pointer;
		}
	   </style>
	</head>
	<body>
		<div id=""main"">
			<p>THIS WORKS: <span class=""front"">front</span><span class=""back"">the back</span>.</p>
			<p>this does not work: This is a test of regex [front/back]. This is also a test of [fff/bbb]. This is also a test of [111/222].</p>	
		</div>

		<script>
			$(document).ready(function () {
				const mainHtml = $(""#main"").html();
				const parsedHtml = mainHtml.replace(/\[(.*?)\/(.*?)\]/g, '<span class=""front"">$1</span><span style=""display:none"" class=""back"">$2</span>'); 
				$(""#main"").html(parsedHtml);

				$(document).on('click','.front', function() {
					const $front = $(this);
					$front.hide();
					const $back = $front.next();
					$back.show();
				});

				$(document).on('click','.back', function() {
					const $back = $(this);
					$back.hide();
					const $front = $back.prev();
					$front.show();
				});
			});
		</script>
	</body>
	</html>	
	------------------------------------",100,,2019-04-20 16:24:04,systemUnknown
27,vscode,Emmet Basics,"- learn basic useful features
	- make new file: `test.htm`
	- `html:5`
		- tab through, enter title
	- all basic elements: `p`, `b`, `i`, `div`
	- div with attribute
		- `div.section`
		- `div#main`
	- a
		- `a`
		- `a:link`
	- lists: 
		- `ul>li`
		- `ul>li*5`
- learn more at https://docs.emmet.io/cheat-sheet",10,$rank=4.8,2019-04-20 16:56:16,systemUnknown
29,Google Docs,How to create a footnote in a Google document,"- go to Google Drive
- create a Document
- on the page, just click near the bottom and the footnote area will open
- then click on the **right-justify** button:##rightjustifybutton
- and type your text##typeatbottomtext
- your footnote will appear on the bottom of every page##willappearall
- here's a full video on how to create footnotes:@@ZkC7EmsP6zI",5,$rank=3.1,2019-05-02 12:55:22,systemUnknown
30,windows,How to look in Event Log to see why some error occurred,"- in Windows search, look for `event log` or `Ereignisanzeige` (Spanish = `Visor de Eventos`)
- under **Ereignisanzeige**, **Windows-Protokolle** click on **Anwendung** and the other categories
- there you will see to the right entries in the log files that applications and the operating system reported and when
- set a filter to not show information
- search for TechSmith
- turn off connect to Internet
- start SnagIt and check for latest version
- refresh logs again",10,$rank=2.8,2019-05-02 13:04:38,systemUnknown
31,vscode,How to set a bookmark and return to it,"- install **Bookmarks**##thebookmarkInstall
- to set bookmark, press `CTRL-ALT-K`##toSetbookmark
- right-click the bookmark and set a meaningful title##therightMark
- go somewhere else in code, then click on this bookmark and you will return",20,$rank=4.7,2019-05-07 15:42:47,systemUnknown
32,regex,Search for a hyphen that is not at the beginning of a line,"- you have this text:
	-----------------------------
	- this is a test
	- this is also a test
	- and so is this, you want to find hypens like software-version
	- and also: 5 - 2 = 3
	-----------------------------
- `(?<!^)-`
- for instance: `(?<!a)b` matches a “b” that is not preceded by an “a”, using negative lookbehind.
- see [explanation of negative lookbehind](https://www.regular-expressions.info/lookaround.html)",10,$rank=4.5,2019-05-17 11:23:04,systemUnknown
33,dotnetcore,How to create a C# console app in .NET Core,"- `dotnet new console`
- `dotnet run`
- replace code with this:
	---------------------
	using System;
	using System.Collections.Generic;
	using System.Text.RegularExpressions;

	namespace regextest {
		class Program {
			static void Main (string[] args) {
				List<string> lines = new List<string> ();
				List<string> fixedLines = new List<string> ();
				lines.Add (""   This is line number 1."");
				lines.Add (""        This is line number 2.\n    lasdkjfsdlfkj\nskdfjsdflksjdfsdf"");
				lines.Add (""This is line number 3."");
				lines.Add (""  This is line number 4."");
				lines.Add (""This is line number 5.\n11111\n     22222\n33333ok\n       44444   "");
				RegexOptions options = RegexOptions.Multiline;
				foreach (string line in lines) {
					var fixedLine = line;
					fixedLine = Regex.Replace (fixedLine, @""^\s+"", m => """");
					fixedLine = Regex.Replace (fixedLine, @""\n\s+"", m => ""\n"");

					fixedLines.Add (fixedLine);

				}

				for (var i = 0; i < lines.Count; i++) {
					var line = lines[i];
					var fixedLine = fixedLines[i];
					Console.WriteLine (""================="");
					Console.WriteLine (line);
					Console.WriteLine (""---"");
					Console.WriteLine (fixedLine);
					Console.WriteLine (""================="");
					Console.WriteLine ();
				}
			}
		}
	}
	---------------------
- `dotnet run`",30,,2019-05-23 09:25:18,systemUnknown
34,csharp,How to search and replace via regex,"var fixedLine = Regex.Replace (line, @""\b[a-z]\w+"", delegate (Match match) {
	string v = match.ToString ();
	return char.ToUpper (v[0]) + v.Substring (1);
});",20,,2019-05-21 13:59:25,systemUnknown
35,virtualMachine,Install Windows in virtual machine without key,"- download Windows 10 ISO
	- https://www.microsoft.com/en-us/software-download/windows10
	- download the installer click on `Download Tool Now`
	- follow all the clicks to build an ISO
	- you eventually have an ISO on your drive, e.g. 3.8 GB (second time was 4.0 GB)
- install Windows 10 in VirtualBox
	- New, follow all defaults
	- Start, choose the ISO file
	- click ""I don't have a product key""
	- Windows 10 Pro (second time I chose Windows Pro N, i.e. without media player but had to switch back to Pro, not sure if this was the cause of it crashing during installation, i.e. couldn't find the files)
	- Custom
- Login for the first time
	- personal use
	- create account
		- new email: e.g. `test123111222@outlook.com` (you never have to confirm)
			- any password: Test4Test$
		- birthdate, etc.
			- make sure it is before 2000 otherwise it will think you are a child and not let you in
	- any pin
		- 4456
- log in
	- install the tools for connected folder
	- Machine, create snaphot, ""Installed""
- always start machine where you are logged in so you don't have to log in
- move the machine: https://superuser.com/questions/633431/whats-the-recommended-way-to-move-a-virtualbox-vm-to-another-computer",100,,2019-05-22 16:12:08,systemUnknown
36,dotnet,How to install Visual Studio Community,"- https://visualstudio.microsoft.com/vs/community
	- ASP.NET and Web Development
	- .NET Desktop Development
	- Database
	- restart",20,,2019-05-23 11:38:20,systemUnknown
38,dotnet,How to create a C# application in Visual Studio Community,"- start Visual Studio Community
- file, new, project type: console, console app (.net framework), next
	- `deepdir`
	- `C:\edward\consapps`
	- place solution in same directory
	- [[Create]]
- edit file
	- add `Console.ReadLine();`
	- execute
- replace code with this:
	---------------------------------
	using System;
	using System.IO;
	using System.Collections.Generic;
	using System.Diagnostics;
	using static System.Net.Mime.MediaTypeNames;

	namespace showimages
	{
		class Program
		{
			static void Main(string[] args)
			{
				var wildCard = ""*.*"";
				if(args.Length > 0)
				{
					wildCard = args[0];
				}

				var docPath = Directory.GetCurrentDirectory();
				string[] files = Directory.GetFiles(docPath, wildCard, SearchOption.AllDirectories);
				foreach (string file in files)
				{
					Console.WriteLine(file);
				}
			}
		}
	}
	---------------------------------
- switch to release
- build
- in Explorer, go to `C:\edward\consapps\deepdir\bin\Release`
	- copy the .exe files out to another directory with sub-directories
	- test it
- to enable it to work everywhere
	- put in e.g. `c:\consoleapps`
- in Windows menu, search for `environment`
	- Environment variables
	- add `C:\consoleapps` to Path
	- close and open command window in any directory
	- type `deepdir`",50,,2019-05-23 15:36:04,systemUnknown
39,dotnet,How to install and use LinqPad,"- download at: https://www.linqpad.net/download.aspx
- attach sqlite database
	- add connection
	- IQ
	- Sqlite, browse, OK
	- connection: select sqlite database
- use SQL commands
	- choose Language: SQL
	- `select * from pageItems`
	- `select id,title,kind from pageItems`
	- `select id,title,kind from pageItems order by title`
- use LINQ commands
	- 1. query syntax
		- `from p in PageItems select p`
		- `from p in PageItems select new { p.Id, p.Title, p.Kind }`
		- `from p in PageItems orderby p.Title select new { p.Id, p.Title, p.Kind }`
	- 2. method syntax
		- `PageItems`
		- `PageItems.Where (p => p.Title.StartsWith(""T""))`
		- `PageItems.Where (p => p.Title.StartsWith(""T"")).OrderBy(m => m.Title)`
- see **Help > Tutorials and Reference**",50,$rank=1.0,2019-05-23 16:35:51,systemUnknown
40,responsiveDesign,Responsive CSS and HTML to show different content on smartphones and computers/tables,"- for styles use this code:
	---------------------------
	/* smartphone view */
	@media (max-width: 577px) {
		.mainGraphic {
			width: 100%;
		}
	}

	/* computer/table view */
	@media (min-width: 578px) {
		.mainGraphic {
			box-shadow: 10px 10px 5px grey;
		}
	}	
	---------------------------
- for HTML use this code:
	-------------------------------
	<!--SMARTPHONE VIEW-->
	<div class=""d-inline d-sm-none"">
		smartphone HTML goes here
	</div>

	<!--COMPUTER/TABLET VIEW-->
	<div class=""d-none d-sm-inline"">
		computer/tablet HTML goes here
	</div>
	-------------------------------
- see Datapod's **Showcase: Mobile Development** for a full example",50,,2019-07-23 15:25:30,systemUnknown
41,vscode,How to get the thick scrollbar back on the right side,"- `ctrl-,`
- type `editor.minimap.enabled` and set to true",5,$rank=4.1,2019-07-30 14:36:59,systemUnknown
