id,genericTermIdCode,title,body,extras,systemWhenCreated,systemWhoCreated
12,Revision Control System,Git,"- 2005, a distributed version-control system for tracking changes in source code during software, created by Linux Torvalds, becoming the default version-control system in software projects",$rank=4.9;$quick=the most-used revision control system today;$todo=learn it well,2019-05-22 16:31:49,systemUnknown
13,Build Tool,Jake,"- a build tool similar to Make and Rake, but written in and for JavaScript
- it's a port of Ruby's Rake, but inspired by the classic Make","$related=make, rake;$rank=3.1;$quick=a popular JavaScript build too; $todo=know about it",2019-05-20 15:05:48,systemUnknown
14,Build Tool,Rake,"- Rake is a software task management and build automation tool, written in Ruby","$rank=1.8;$quick=one of the many Make tools, written in Ruby; $todo=know about it",2019-05-20 15:21:34,systemUnknown
15,Build Tool,Make,"- 1976, Make is a build automation tool that automatically builds executable programs and libraries from source code by reading files called Makefiles which specify how to derive the target program
- Make is one of the most widespread, primarily due to its inclusion in Unix",$rank=2.4;$quick=on of the oldest and most popular build tools;$todo=know about it,2019-05-20 15:22:00,systemUnknown
16,Code Analysis Tool,JSHint,"- created in 2011 by Anton Kovalyov 
	- a fork of the JSLint project by Douglas Crockford
	- felt JSLint was getting too opinionated",$rank=3.2;$idCode=jshint;$quick=a code analysis tool that will help you write better JavaScript;$todo=worth incorporating in your project (but also see ESLint),2019-05-20 15:43:20,systemUnknown
17,Code Analysis Tool,ESLint,"- ESLint checks your coding style and checks your code for bugs and other problems as well
- it is the newest of the JavaScript code analysis tools, newer than JSHint and JSLint",$idCode=eslint;$rank=3.9;$quick=the newest JavaScript code analysis tool;$todo=worth incorporating in your project,2019-05-20 15:43:20,systemUnknown
18,JavaScript Testing Framework,Mocha,"- a JavaScript test framework for Node.js programs
- can use assertion libraries such as Chai
- one of the **most flexible**
- requires some additional setup and configuration
- c'est celui qui fait de l'ombre à Jasmine parce que c'est également un très bon framework et c'est très utilisé
- ca tourne en Node.js et est vraiment génial à utiliser mais **plus orienté sur les grosses applications**",$rank=3.6; $quick=one of the most popular JavaScript testing frameworks; $todo=learn this with Chai,2019-05-20 16:02:57,systemUnknown
19,JavaScript Testing Framework,Jest,"- a JavaScript testing framework with a focus on simplicity
- works with projects using: Babel, TypeScript, Node, React, Angular, and Vue
- developed **by Facebook**
- runs your tests **concurrently in parallel**, providing a smoother, **faster test run**
- works right **out of the box**
	- you just have to install it through npm or yarn, write your test, and run jest","$rank=3.8; $quick=a JavaScript testing framework like Mocha, but simpler; $todo=start with this before Mocha",2019-05-20 16:03:05,systemUnknown
20,Assertion Library,Chai,"- an assertion library for node that can be paired with any javascript testing framework, e.g. often used with Mocha",$rank=3.6; $quick=an assertion library for JavaScript testing often used with Mocha; $todo=perhaps learn it with Jest first,2019-05-20 16:09:11,systemUnknown
21,Language Extension,XHP,"- an augmentation of PHP and Hack developed at Facebook to allow XML syntax for the purpose of creating custom and reusable HTML elements
- Facebook have also developed a similar augmentation for JavaScript called JSX
- XHP is to PHP what JSX is to React",$idCode=xhp;$rank=1.4; $quick=allows XML syntax in PHP code; $todo=know what it is,2019-05-20 16:09:58,systemUnknown
22,Language Extension,JSX,"- a syntax extension to JavaScript used with React
- JSX is optional and not required to use React
- JSX is not a requirement for using React. Using React without JSX is especially convenient when you don’t want to set up compilation in your build environment. Each JSX element is just syntactic sugar for calling React.createElement(component, props, ...children). So, anything you can do with JSX can also be done with just plain JavaScript.",$rank=4.2; $quick=a way of combining JavaScript and HTML; $todo=learn this when you learn React,2019-05-20 16:09:11,systemUnknown
23,Mobile Framework,Cordova,"- a mobile application development framework acquired by Adobe 2011 who rebranded it as PhoneGap
- they later released an open source version called Apache Cordova
- enables software programmers to build applications for mobile devices using CSS3, HTML5, and JavaScript instead of relying on platform-specific APIs like those in Android, iOS, or Windows Phone
- they are not just Web apps, but are packaged as apps for distribution and have access to native device APIs
- Apache Cordova (formerly PhoneGap) 
- Cordova is a framework that gives you Javascript bindings to invoke native functionality on a mobile device.
- Adobe/PhoneGap story explained: http://www.informit.com/articles/article.aspx?p=2478076
- PhoneGap is a distribution of Apache Cordova
- PhoneGap is Cordova plus some extra Adobe stuff
- Cordova will always remain open source and lets you create apps that are native to Android, iOS and Windows using web technologies like HTML, CSS, JavaScript. And PhoneGap offers the same cross-platform environment as Cordova. So, currently the difference lies in the names of the same framework, with a catch that PhoneGap services are owned by Adobe and many not always be open-source and free-to-use.","$rank=2.7; $quick=framework that allows you to use CSS3, HTML5 and JavaScript to build platform-specific mobile apps; $todo=learn this if you get into mobile development",2019-05-20 16:21:20,systemUnknown
24,Mobile Framework,Ionic,"- **2013**, originally built on top of AngularJS and Apache Cordova in, now built on Angular
- SDK for hybrid mobile app development
- originally built on top of AngularJS and Apache Cordova
- now Ionic3 is built on top of Angular (Angular2)
- provides tools and services for developing hybrid mobile apps using Web technologies like CSS, HTML5, and Sass
- an open-source SDK for hybrid mobile app development
- the latest release was re-built as a set of Web Components: can be used with Angular, React or Vue.js
- uses JavaScript, CSS, HTML5, and Sass
- mobile apps can be built with these Web technologies and then distributed through native app stores to be installed on devices by utilizing Cordova or Capacitor","$rank=3.8; $quick=allows you to build hybrid mobile apps with CSS, HTML and JavaScript; $todo=if you get into mobile development, look into Ionic4 (2019)",2019-05-20 16:36:16,systemUnknown
25,CSS Framework,Bootstrap,"- Bookstrap 1 **created 2011**
	- Mark Otto and Jacob Thornton at Twitter
- Bootstrap 2 - Jan 2012
- Bootstrap 3 - Aug 2013
- the most popular HTML, CSS, and JS framework for developing responsive, mobile first projects on the web
- Bootstrap 4
	- **Bootstrap 4 announced in Oct 2014**
	- first alpha version of Bootstrap 4 was released on Aug 2015
	- first beta version Aug 2017
	- suspended work on Bootstrap 3 in Sep 2016
	- **Bootstrap 4 was finalized in Jan 2018**",$rank=4.9; $quick=a ubiquitous CSS framework that simplifies website design; $todo=learn Bootstrap 4 well,2019-05-20 16:36:16,systemUnknown
26,CSS Framework,Materialize,"- frontend framework
- based on Material Design guidelines by Google",$rank=1.7; $quick=something like Bootstrap but with a design philosophy called Material Design; $todo=know that this is an alternative to Bootstrap,2019-05-20 16:36:16,systemUnknown
27,Web UI Framework,Blazor,"- a Web UI framework based on C#, Razor, and HTML that runs in the browser via WebAssembly
- was designed to simplify the task of building fast single-page applications that run in any browser
- March 7th, 2019, 0.9.0 experimental release",$rank=1.5; $quick=Microsoft's new WebAssembly technology; $todo=know that it exists,2019-05-20 16:46:55,systemUnknown
28,JavaScript Runtime Environment,Node,"- 2009, an open-source, cross-platform JavaScript run-time environment that executes JavaScript code outside of a browser
- **shines at I/O** allowing you to make millions of requests to various databases and cache layers
- Ryan Dahl, créateur de Node.js
- utilise la machine virtuelle V8, la librairie libuv pour sa boucle d'évènements, et implémente sous licence MIT les spécifications CommonJS",$idCode=node;$rank=4.923; $quick=extremely important and central JavaScript technology for web backend and application development; $todo=definitely learn this,2019-04-27 15:52:18,systemUnknown
29,JavaScript Library,Redux,"- 2015 created
- similar to and **inspired by Facebook's Flux** architecture, it was created by Dan Abramov and Andrew Clark
- **predictable state container** for JavaScript apps
- helps you write applications that behave consistently
- **makes it easy to trace** when, where, why, and how your application's state changed
- most commonly used with libraries such as **React or Angular** for building user interfaces
- c'est un petit peu compliqué à mettre en place","$rank=3.8; $quick=JavaScript library for maintaining state, used with React and Angular; $todo=use this with React",2019-05-26 00:37:15,systemUnknown
31,Database Query Language,SQL,"- invented in 1974, a language used to manage data in relational databases",$idCode=sql;$rank=4.95; $quick=the standard language you use to get data from relational databases; $todo=extremely important to learn the basics,2019-05-23 15:56:04,systemUnknown
32,Markup Language,HTML5,"- HTML 1.0 released 1993, standard markup language for creating web pages and web applications
- HTML5 released 2011",$idCode=html5;$rank=5.0; $quick=the markup language that serves as the basis of websites; $todo=learn HTML5 very well,2019-04-27 15:52:18,systemUnknown
33,Style Sheet Language,CSS3,"- 1996, CSS1 was released, enabling the styling of HTML elements in browsers
- around 2014, CSS3 became the new standard",$idCode=css3;$rank=4.989; $quick=the language used to style websites and a standard tool for web development; $todo=learn CSS3 well,2019-04-27 15:52:18,systemUnknown
34,Programming Language,JavaScript,"- 1995 created
- 1995-2005 considered a rather insignificant and weak scripting language
- 2005-today, has become the ubiquitous language of the web in browsers, and now on the back end with Node.js",$idCode=javascript;$rank=4.985; $quick=the main scripting language of the Web; $todo=get as good at JavaScript as possible,2019-05-25 17:46:10,systemUnknown
35,Programming Language,TypeScript,"- 2012, created
- TypeScript is a superset of ECMAScript 6 (ES6), and is backwards compatible with ECMAScript 5 (i.e.: JavaScript), i.e. you can continue to write JavaScript and ease into TypeScript
- it adds static typing to the JavaScript, so you get more information concerning errors at develop and compile time, which prevents them from occurring at run time
- maintained by Microsoft and is therefore quite compatible and has similarities to .NET languages such as C#
- works very well in VSCode
- experiment at the [TypeScript Playground](https://www.typescriptlang.org/play)",$idCode=typescript;$rank=4.555; $quick=has become the preferred way to program in JavaScript; $todo=definitely learn this,2019-05-24 16:16:05,systemUnknown
36,Web Framework,Angular,"- a TypeScript-based open-source web application framework led by the Angular Team at Google
- when you talk about Angular, you have to be precise what you mean, as there are two kinds: AngularJS and Angular:
	- AngularJS (2009-2015)
		- Angular 1.x (now called AngularJS)
		- officially created by Google in 2012, since 2016 written in TypeScript
	- Angular (2015-)
		- Angular 2 
			- a complete rewrite of Angular 1
			- written in TypeScript instead of JavaScript
			- renamed Angular 1 to AngularJS
			- 5 times faster than the AngularJS
		- Angular 4
			- (Angular 3 was skipped)
		- Angular 5
		- Angular 6
		- Angular 7
- basically, you don't want to develop anymore in AngularJS, but instead use the latest version of Angular
- today when someone says Angular, they means the Angular 2-7 versions, not AngularJS
- Having an AngularJS app in 2018 probably means one of two things: 
	- 1. the app has been abandoned and isn't really used 
	- 2. it's too expensive or troublsome to upgrade to Angular
- 2018: regarding AngularJS, ""We will release a couple more versions this summer that includes a few important features and fixes before we move into the mode of only making security and dependency related fixes, but that is all.""
- in 2018, if you are moving away from AngularJS, your choices are React, Angular, and Vue.js",$rank=4.92; $quick=together with React and Vue.js one of the three most popular JavaScript frameworks; $todo=learn this at some point,2019-05-25 17:47:30,systemUnknown
37,JavaScript Framework,Vue.js,"- a JavaScript framework for building user interfaces and single-page applications
- I use Vue.js in Datapod on the front and Node.js on the back end
- here you can see the popularity of Vue.js##vuejsPopularity
- Vue was created by Evan You after working for Google using AngularJS in a number of projects
	- ""I figured, what if I could just extract the part that I really liked about Angular and build something really lightweight.""",$idCode=vuejs;$rank=4.91; $quick=can easily be used to enhance existing applications as well as to create new applications; $todo=very useful to learn,2019-05-24 16:44:30,systemUnknown
38,Markup Language,Razor,"- note when talking about Razor, one is talking about either Razor syntax or Razor Pages
	- **Razor syntax**
		- 2011: Razor syntax was released as part of MVC 3 and the WebMatrix tool set
		- Razor syntax is what you find in `.cshtml` pages, which are used in both ASP.NET MVC and ASP.NET Razor Pages
		- an ASP.NET template markup syntax based on the C# programming language that enables the programmer to use an HTML construction workflow
		- the design reduces the number of characters and keystrokes, and enables a more fluid coding workflow by not requiring explicitly denoted server blocks within the HTML code
	- **Razor Pages**
		- 2017: Razor Pages were first introduced with ASP.NET Core 2.0
		- the new ASP.NET Core Razor Pages is the next evolution of ASP.NET WebForms
		- a Razor page not only has a Razor view (`.cshtml` file) but also a tightly-integrated ""code-behind"" file (`.cshtml.cs` file) which defines the functionality for that page
		- Razor Pages doesn't use controllers
		- Razor Pages automatically implement antiforgery validation, which protects against cross-site request forgery (XSRF/CSRF) attacks, without using the [ValidateAntiForgeryToken] attribute		
- note when you create an ASP.NET Core Project in Visual Studio 2019, you have two choices:
	- Web Application = **ASP.NET Razor Pages** project
	- Web Application (Model-View-Controller) = **ASP.NET MVC** project##razorPagesAndMvc
	- this tutorial shows how to set up both MVC and Razor pages here: https://exceptionnotfound.net/razor-pages-how-does-it-differ-from-mvc-in-asp-net-core",$rank=4.7; $quick=template markup syntax that mixes C# code and HTML; $todo=a must-learn if you are doing ASP.NET development,2019-05-24 13:51:18,systemUnknown
39,Programming Concept,MVC,"- developed in the 1970s, but became very popular with web frameworks from the 1990s onward##mvcDiagram
- has three interconnected parts
	- **Model**
		- represents the data that will be displayed in the view
		- gets the data from the database
		- responsibility: manages data
	- **View**
		- what the user sees, e.g. the HTML page
		- responsibility: displays data
	- **Controller**
		- the backend code class 
		- accepts input from the user to e.g. save to the model
		- gets data from the model to display to the view
		- responsibility: sends data to the view and responds to user input
- separate internal representations of information from the ways information is presented to and accepted from the user
- is similar to MVVM",$rank=4.9; $quick=an architectural pattern commonly used particularly in web development; $todo=definitely know this,2019-05-24 14:20:25,systemUnknown
40,ORM Framework,Entity Framework,"- object-relational mapping (ORM) framework for the .NET platform
- enables developers to work with data in the form of domain-specific objects and properties, such as customers and customer addresses, without having to concern themselves with the underlying database tables and columns where this data is stored",$rank=4.8; $quick=object-relational mapping (ORM) framework for .NET; $todo=learn this if you do .NET development;$cxategoryTitle=ORM Framework,2019-05-24 14:44:41,systemUnknown
41,Softward Framework,.NET,"- released in 2002 and has been the basis for Microsoft software and web development ever since
- 2002 .NET Framework 1.0
- 2007 .NET Framework 3.5
- 2015 .NET Framework 4.6
- 2019 .NET Framework 4.8
- language interoperability
	- the old Visual Basic became Visual Basic .NET
	- the new language C# was created, which was very similar to Java
- Visual Studio became the main development tool for .NET",$idCode=dotnet;$rank=4.9; $quick=the main Windows development framework; $todo=important to know,2019-05-24 15:01:06,systemUnknown
42,Modern Operating System,Linux,"- 1991 first kernel version released by Linus Torvalds in Finland
- Linux is a family of operating systems is based on the Linux kernel and is deployed on personal computers and servers, usually in the form of Linux distributions such as Ubuntu, Debian, Fedora, Suse, or Mint
- Linux is ubiquitous now particularly on Servers
- as a web developer, you are either working on Windows or Linux as your development computer, and work on Windows or Linux servers
	- if your development machine is an Apple Mac, the base operating system is BSD UNIX which is very Linux like
	- therefore, good Linux skills are a must as a software or web developer","$rank=4.9; $quick=an operating system used on many servers; $todo=very important to know, start with the Ubuntu distribution",2019-05-24 15:17:10,systemUnknown
43,Modern Operating System,Windows,"- for personal computers
	- 1990: Windows 3.0 was released
	- 1995: Windows 95
	- 1998: Windows 98
	- 2001: **Windows XP** (solid)
	- 2006: Windows Vista (slow and buggy)
	- 2009: **Windows 7** (solid)
	- 2012: Windows 8 (unpopular)
	- 2014: **Windows 10** (solid)
- for servers
	- 1990s: Windows NT (networked computers for companies)
	- 2003: **Windows Server 2003**
	- 2008: **Windows Server 2008**
	- 2012: **Windows Server 2012**
	- 2016: Windows Server 2016
	- 2019: Windows Server 2019",$rank=4.9; $quick=ubiquitous operating system for PCs and servers; $todo=know it well,2019-05-24 15:29:27,systemUnknown
44,Programming Language,Java,"- created 1995 as a class-based, object-oriented language to write applications
- compiled to bytecode and so was able to run on multiple operating systems
- syntax similar to C and C++
	- but had a garbage collector which made memory management easier
- Java is a popular language for devices, e.g. the Android mobile phone
- was the inspiration for Microsoft to create C# in 2001
- versions, roughly
	- 1996: Java 1
	- 2002: Java 4
		- Regular Expressions
	- 2004: Java 5
		- Enums, Generics
	- before this Java was known as J2SE, e.g. ""J2SE 5.0"" (""Java 2 Platform, Standard Edition"")
	- after this point Java is known as Java SE, e.g. ""Java SE 6"" (""Java Standard Edition"")
	- 2006: Java 6
	- 2011: Java 7
	- 2014: Java 8
		- Lambda expressions
		- Java 8 natürlich immer noch die am meisten genutzte Version
	- 2017: Java 9
		- no new language concepts
		-  APIs and diagnostic commands
	- 2018: Java 10
		- seit Java 10 können lokale Variablen mit dem Schlüsselwort var deklariert werden
			- `var zahl = 5; // int`
		- local variable type inference
		- Unicode 10
	- 2018-09: Java 11
		- Neu in Java 11 ist, dass man nun auch Lambda-Parameter mit var deklarieren kann. 
			- `Consumer<String> printer = (var s) -> System.out.println(s);`
		- Java 11 was the last LTS (Long Term Support) which is supported for three years
	- 2019-03: Java 12
		- auf den ersten Blick sieht es nicht so viel aus
		- die Idee der halbjährlichen Releasezyklen ist es, dass neue Features parallel und ohne Zeitdruck, unabhängig von den nächsten Veröffentlichungsterminen entwickelt werden können
		- changes in Switch statement
		- new bench-marking tools
	- 2019-09: Java 13
		- die größte Änderung in Java 13 ist das Ersetzen des Schlüsselworts break in der Switch Expression durch yield
		- new memory management capabilities
		- in 2020-09, `java -version` showed: *java version ""13.0.1"" 2019-10-15*
	- 2020-03: Java 14 
		- Die halbjährlichen OpenJDK-Releases tun der Sprache und der Plattform gut.
		- Diesmal gab es sogar deutlich mehr neue Funktionen also noch bei Java 12 und 13
		- Text Blocks
		- brought switch expressions
	- 2020-09: Java 15
		- text blocks, hidden classes, the Z Garbage Collector, and previews of pattern matching and records
		- long text blocks that can be assembled with much more readable code
		- new garbage collectors
		- hidden classes designed for use by framework creators
	- 2021-03: Java 16
	- 2021-09: Java 17
		- this will be a LTS (Long Term Support) version, supported for three years
- ""C# and Java are the big boys of yesteryear, not the sexiest languages but certainly worth learning. The only problem is figuring out which C# and which Java to learn, there have been so many versions of them and so much bad code out there.""","$rank=4.5; $quick=a popular and ubiquitious programming language; $todo=important for software development, not so much for web development",2019-05-24 15:44:55,systemUnknown
45,JavaScript Transpiler,Babel,"- created by Sebastian McKenzie
- a JavaScript compiler and configurable transpiler
- allows software developers to write source code in a preferred programming language or markup language and have it translated by Babel into JavaScript
	- e.g. you can use Babel to convert JSX markup into JavaScript using the Babel preset ""react""
- a popular tool for using the newest features of the JavaScript programming language
- Babel's main purpose is to turn unsupported or cutting-edge language features into ES5
	- e.g. it can translate all kinds of high version ECMAScript into ES5, which most browsers can understand
- Babel converts import and export declaration to CommonJS (require/module.exports) by default",$rank=4.8; $quick=a JavaScript transpiler which enables you to use higher versions of ECMAScript; $todo=learn and use this,2019-05-24 15:59:19,systemUnknown
46,Package Manager,npm,"- 2010 created
- package manager for JavaScript
- default package manager for node.js
- inspiration from shortcomings of PEAR and CPAN
- makes finding, downloading, installing and using various JavaScript libraries much easier than before
- npm started out managing node.js modules (that's why packages go into node_modules by default), but it works for the front-end too when combined with Browserify or WebPack
- [npx](https://medium.com/@maybekatz/introducing-npx-an-npm-package-runner-55f7d4bd282b)
	- where npm makes it easy to install and manage dependencies hosted on the registry, npx **makes it easy to use CLI tools and other executables hosted on the registry**
	- trend is to install tools as project-local devDependencies, instead of requiring users to install them globally
		- tools like mocha, grunt, and bower, which were once primarily installed globally on a system, can now have their versions managed on a per-project basis
		- e.g. `npx mocha` is all you need to do to use your local installation
		- calling `npx <command>` when <command> isn’t already in your $PATH will automatically install a package with that name from the npm registry for you, and invoke it
			- the installed package won’t be anywhere in your globals
	- tools like *yeoman* or *create-react-app* are not used frequently
		- by the time you run them again, they’ll already be far out of date
		- with npx you don't have to install them every time you want to use them
	- npx can even apparently run GitHub gists",$rank=4.924; $quick=the main package manager for JavaScript; $todo=extremely useful,2019-05-24 16:06:21,systemUnknown
47,Package Manager,Bower,"- a package manager, like npm, which manages frameworks, libraries, assets, and utilities, installs them, and makes sure they are up to date
- traditionally, many web development projects combined npm and Bower. npm was used to manage back-end dependencies, while Bower was used for front-end dependencies, in fact, you needed to use npm in order to install Bower in the first place
- Dec 2017: ""**Bower is dead, long live npm. And Yarn. And webpack.**""
	- Bower has been deprecated by its creators
	- Bower offered a flat dependency graph, which you can now get with NPM and Yarn
	- Bower put the burden of dependency management on the user
- 2018 Update: bower is mostly deprecated **in favor of NPM**","$rank=0.8; $quick=an older package manager for the frontend; $todo=today use npm, Yarn and Webpack",2019-05-24 16:14:01,systemUnknown
48,JavaScript Library,jQuery,"- 2006 created
- became the de facto JavaScript library for many years, altough after 2012 or so began to be replaced by more sophisticated JavaScript libraries such as Angular, React, and Vue.js
	- it's main drawback is that it works directly with the DOM whereas the newer libraries offer more sophisticated event-based patterns such as MVVM which maintain state on the page and continually update based on a data source, and so enable a developer to make much more sophisticated and robust, easy-to-maintain web applications
- here you can see the popularity of jQuery rise, peak and fall##jqueryPopularity",$idCode=jquery;$rank=4.7; $quick=a very useful and popular but older JavaScript library; $todo=learn the basics,2019-05-24 16:43:10,systemUnknown
50,JavaScript Library,Backbone,"- 2010 created
- a JavaScript library with a RESTful JSON interface and based on the Model View Presenter (MVP) application design paradigm
- lightweight
- depends on underscore.js and jQuery
- designed for developing single-page web applications
- was created by Jeremy Ashkenas, who is also known for CoffeeScript and Underscore.js
- popularity peaked around 2013##vuejsPopularity
",$rank=3.8; $quick=a JavaScript library that was popular back in 2010-2015; $todo=look into this as an alternative JavaScript framework,2019-05-24 16:46:46,systemUnknown
