id,techItemList,body,extras,systemWhenCreated,systemWhoCreated
23,"mysql, postgresql","- MySQL is open-source yet controlled by Oracle, whereas Postgres is open-source and controlled by the PostgreSQL Global Development Group
- both run on all operating systems
- technical differences in partitioning (clustering) and replication
- PostgreSQL is the world's most advanced open-source database, MySQL is the world's most popular open-source database
- one used to say that MySQL works best for online transactions, while PostgreSQL works best for analytical processes
- lack of configuration flexibility with replication on PostgreSQL was the reason why Uber switched to MySQL
- while MySQL is a relational database management system (RDBMS), PostgreSQL is an object-RDBMS (ORDBMS) 
	- PostgreSQL supports table inheritance and function overloading, both are features usually attributed to object oriented languages
	- one of the situations where the object-oriented approach is visible is the fact that for each table there is a corresponding data type created, so a table is essentially a set of ""instances"" of a specific type",,2019-06-13 11:33:20,systemUnknown
24,"mysql, sqlite","- SQLite is much more portable than MySQL (the database is simply a file that has to be copied)
- SQLite is flexible for development, prototyping, and testing, and the data can more or less be copied easily to MySQL when you are e.g. out of the prototype phase
- SQLite is not designed for large-scale applications
- MySQL can handle high traffic sites much better
- MySQL has an environment of management capabilities that SQLite doesn't have
	- e.g. higher levels of security as well as user permissions management,",,2019-06-13 12:59:23,systemUnknown
25,"sql, nosql","- SQL is like a town where everyone speaks the same language, NoSQL is a town where people speak many languages and dialects of those languages
	- SQL requires predefined schemas yet it is restrictive
	- NoSQL has dynamic schema for unstructured data
- advantages of NoSQL
	- simplicity of design
	- simpler horizontal scaling to clusters of machines which is a problem for relational databases
	- limits the object-relational impedance mismatch
	- you can create documents without having to first define their structure
	- each document can have its own unique structure
	- the syntax can vary from database to database
	- you can add fields as you go
	- NoSQL databases the preferred choice for large or ever-changing data sets
- advantages of SQL
	- better option for applications that require multi-row transactions ",,2019-06-13 14:29:44,systemUnknown
26,"mongodb, couchdb","- MongoDB and CouchDB are the most popular NoSQL databases
- CouchDB is good for pre-defined queries where MongoDB is better for dynamic queries
- Do you need strong consistency of data? Then MongoDB.
- Do you need high availability of database? Then CouchDB.
- Do you need large community to be using DB? Then MongoDB",,2019-06-13 14:51:15,systemUnknown
27,"react,backbone","- React is essentially a replacement for Backbone.View, it's not a huge application-level framework like Angular or Ember, and it can peacefully coexist with existing components like Backbone.Model",,2019-06-13 16:26:00,systemUnknown
29,"react,polymer","- ""while using Polymer, I was clueless about most of the boilerplate and Starter kit code and why am I doing something, to be honest, I've devoted more time in learning Polymer than React, yet I feel I know React better""
- Polymer has many ready-made elements using Material Design, while React provides you with nothing more than vanilla CSS",,2019-06-17 16:43:52,systemUnknown
30,"typescript, dart","- TypeScript is developed by Microsoft whereas Dart is developed by Google
- where TypeScript is JavaScript with some additional features, Dart as a replacement of JavaScript
	- TypeScript is basically just typing on top of JavaScript
	- Dart is more Java-ish than Typescript, for example in JavaScript there is undefined and null, while Dart only has null
- the development cycle for TypeScript is faster and closer to the users needs than Dart
- like TypeScript, Dart can be used in both frontend and backend",,2019-06-18 15:14:36,systemUnknown
32,"fsharp,csharp","- there are tasks that are difficult and time-consuming in C# but easy in F#, like trying to pound a nail with a screwdriver, you can do it, but it's not ideal
- data manipulation is easier in F#
- complex stateful UI is easier in C#
- F# is good for complex algorithmic programming, financial and scientific applications
- F# good for parallel execution, it is easier to make F# code execute on parallel cores, than with C#",,2019-06-20 13:47:20,systemUnknown
33,"groovy,java","- the two languages are similar, Groovy code can be more compact
	- Java programmers can learn Groovy gradually by starting with familiar Java syntax before acquiring more Groovy programming idioms
- unlike Java, a Groovy source code file can be executed as an **uncompiled script**
	- if it contains code outside any class definition
	- if it is a class with a main method
	- if it is a Runnable or GroovyTestCase
- ""I am a long time Java programmer who has learned a few of the follow on languages: Groovy, Scala, and Clojure. Of the three, Groovy is the one I do not use and do not like. My reasoning is this: **Groovy is syntactically similar to Java, but has dynamic typing**. That means when I read Groovy code, I expect it to be Java, but there is **no type information anywhere**, so I don't what is going on in the code. It is **just similar enough to be confusing**, and really **lacking any gain that would inspire me to really use it**. I am not a fan of dynamic typing at all.""",,2019-06-20 13:57:49,systemUnknown
34,"haskell,miranda","- Haskell is based on the semantics but not the syntax of the Miranda programming language, which served to focus the efforts of the initial Haskell working group
- ""Following the release of Miranda by Research Software Ltd. in 1985, interest in lazy functional languages grew. By 1987, more than a dozen non-strict, purely functional programming languages existed. Miranda was the most widely used, but it was proprietary software. At the 1987 conference on Functional Programming Languages and Computer Architecture in Portland, Oregon, there was a strong consensus that a committee be formed to define an open standard for such languages, which led to the development of Haskell.""",,2019-06-20 14:15:44,systemUnknown
36,"r,s,scheme","- R (1993) is an implementation of the S programming language (1976) combined with lexical scoping semantics, inspired by Scheme (1975)
- the modern implementation of S is R, a part of the GNU free software project",,2019-06-20 14:40:48,systemUnknown
37,"reasonml, ocaml ","- ReasonML doesn't reinvent the wheel and is strictly based on the established OCaml
- benefits of basing ReasonML on OCaml
	- it is an established language (created in 1996) that has proven itself in many projects, e.g. Facebook itself is using it in several projects, e.g. Flow
	- supports object-orientation and mutable state",,2019-06-20 15:34:47,systemUnknown
38,"reason,jsx","- ReasonML supports JSX, the syntax for HTML templates inside JavaScript used by Facebook's React framework
- ""I'm ambivalent about JSX in ReasonML – it has pros and cons. I'm glad that ReasonML doesn't reinvent the wheel and is strictly based on the established OCaml.""",,2019-06-20 15:34:47,systemUnknown
39,"reason,typescript","- 2019: ""We recently started to find more and more use-cases for statically-typed languages that compile to JavaScript. TypeScript and ReasonML are two leaders of this trend that started a couple of years ago
- TypeScript was built as a superset of JavaScript, while Reason was built as an extension to the functional programming language OCaml
- in Reason, all variables are declared with the let keyword
	- in TypeScript, just like in JavaScript, you can use var, let or const
- TypeScript and Reason share Boolean and String
- JavaScript and TypeScript has a single type for numbers
	- Reason distinguishes between Integers and Floats",,2019-06-20 15:34:47,systemUnknown
40,"ruby, python, perl","- the syntax of Ruby is broadly similar to that of Perl and Python
	- but unlike Python, indentation is not significant
- one of the differences from Python and Perl is that **Ruby keeps all of its instance variables completely private** to the class and only exposes them through accessor methods ",,2019-06-20 15:47:39,systemUnknown
41,"java,scala","- like Java, Scala is object-oriented, and uses a curly-brace syntax reminiscent of the C programming language
- unlike Java, Scala has many features of functional programming languages like Scheme, Standard ML and Haskell, including currying, type inference, immutability, lazy evaluation, and pattern matching
- features of Scala not present in Java include operator overloading, optional parameters, named parameters, and raw strings
- as Android applications are typically written in Java and translated from Java bytecode into Dalvik bytecode when packaged, Scala's Java compatibility makes it well-suited to Android development, more so when a functional approach is preferred",,2019-06-20 16:04:00,systemUnknown
42,"smalltalk,simula","- Smalltalk was one of many object-oriented programming languages based on Simula
- Smalltalk and Simula are usually viewed as the first object oriented languages",,2019-06-20 16:35:40,systemUnknown
43,"smalltalk, cplusplus, objectivec, ruby","- ""I worked on two Smalltalk projects in the early 90's at two different companies. Both efforts were abandoned for C++. Numerical computation was too slow. Garbage collection was slow. Not everyone had yet bought into object-oriented programming, much less making everything an object. It was strange. C++ seemed safer since everybody at the time knew and was comfortable with C programming. In the end I think the Smalltalk experience left such a bad taste in everyone's mouth that when these issues were resolved no one was interested in going back and giving Smalltalk a second look. Nowadays Smalltalk lives on in Objective-C.""
- ""I'd say there are two currently popular languages that are significantly influenced by Smalltalk: Ruby and Objective-C.""",,2019-06-20 16:35:40,systemUnknown
44,"csharp, visualbasicnet","- C# and Visual Basic .NET are syntactically very different languages with very different histories
	- C# syntax is based on the core C programming language
	- VB.NET has its roots in the BASIC language of the 1960s
- though C# and VB.NET are syntactically very different, that is where the differences mostly end
	- they compile to the same intermediate language (IL), which runs against the same .NET Framework runtime libraries
- C# is now the dominant Microsoft-based development language
	- developers will notice that VB 15 (first appearing in Visual Studio 2017) lacks certain language capabilities contained in the new C# 7.3",,2019-06-21 15:02:14,systemUnknown
45,"clojure, commonlisp","- Clojure is better than other Lisps because it runs on the JVM and hence gets automatic access to the engineering in the JVM itself, e.g. advanced garbage collection algorithms
- Clojure has good Java interoperability, and so provides compatibility with the huge range of libraries in the Java/JVM language ecosystem
- Clojure is more prescriptive about functional programming than Common Lisp
	- Clojure's philosophy, idioms, and to some degree language/libraries strongly encourage and sometimes insist that you program in a functional way
	- Common Lisp definitely supports functional programming, but it also allows mutable state and imperative programming
- keep in mind that Clojure is a language and an implementation (usually on the JVM)
	- Common Lisp is a language specification with more than ten different implementations
	- so we have a category mismatch right here
	- you might for example compare Clojure with SBCL, for instance",,2019-06-21 15:24:15,systemUnknown
46,"yarn,npm","- npm was the industry standard from its release in 2011 until 2016
- 2016 Yarn was released
- Yarn **isn't technically a replacement for npm** since it relies on modules from the npm registry
- the installation methods are different
- **managing version numbers is more robust in yarn** since the package.json file can get messy sometimes, and the yarn.lock file helps alleviate the mess
- since Yarn only installs from your yarn.lock or package.json files, it's considered to be **more secure**
- Yarn is still commonly considered an improvement over npm (2017)
- using npm and Yarn together can create conflicts
- the fact that Yarn is still young naturally makes some people skeptical 
- these two technologies **solve the exact same problem**
- Yarn has two advantages: 1. it **has the yarn.lock file**, 2. it is **very fast**
- npm is happy to give you nondeterministic builds, shrinkwrap helps out with this but is not enough
	- Yarn takes a different approach
- both npm and yarn use `package.json` to know what to install
	- yarn uses a separate file `yarn.lock` to manage versions
- yarn has parallel builds, which speeds up the install
	- yarn is always faster than npm and often significantly faster
	- yarn is deterministic: one build is the same other builds on other machines
- Prior to NPM version 5, you would use shrinkwrap.
- NPM version 5 (2017 with Node 8.0) introduced package-lock.json as a mechanism to capture the exact dependency tree installed at any point in time
- ""I remember when Yarn exploded onto the scene (2016). It was super fast. It saved minutes with every yarn install. It ensured your `/node_modules` exactly matched the `/node_modules` of your buddy next to you. And the `/node_modules` on the server too. No more, ""Well, it works for me."" Then 6 months passed and npm made an epic comeback with v5 (2017), bringing speed improvements and consistent `/node_modules`. All those reasons we switched to Yarn in the first place. Many devs are now wondering if Yarn is still necessary. I think it's time to switch back to npm.""",,2019-07-11 15:46:50,systemUnknown
47,"typescript,babel","- Typescript now supports plain old Javascript, so if you are using Typescript, there is no reason to use Babel
- TypeScript is basically ES2017 (ES8) with types, so it approximately provides what Babel provides plus all of the benefits that types gives you
- Typescript tends to be more conservative when onboarding new features, they'll usually only seriously consider an ECMAScript proposal once it's Stage 3 or further, whereas Babel usually tries to cover all active proposals and allows you to choose how ""next"" you want to go
- 2018 Article: [Moving from Babel, Flow, and ESLint to TypeScript](https://medium.com/@Zh0uzi/moving-from-babel-flow-and-eslint-to-typescript-18797495885c)",,2019-07-11 16:30:44,systemUnknown
48,"erlang, elixir","- everything you can do in Erlang is possible in Elixir
- for web applications Elixir is much nicer, because it was created to solve this problem
- for some kinds of distributed systems you can find simplicity of Erlang superior: a lack of features is often a good thing",,2019-07-12 11:36:25,systemUnknown
49,"fsharp, scala","- **F# is to C# as Scala is to Java**
- in F#, syntax is much better without the curly braces everywhere, and it is more pleasing to write and look at
- in F# compile times are faster than in Scala
- the vast majority of third-party libraries are written from an OOP perspective and integrate much better with C#/Java than F#/Scala, forcing you to either write adapters or just null check everywhere and forego a major benefit of functional programming in the first place (no nulls)",,2019-07-15 10:29:48,systemUnknown
50,docker vs. virtual machine,"- while virtual machines are made up of user space plus kernel space of an operating system, docker containers are merely the user space
	- containers share the host OS kernel whereas every virtual machine has its own
- the bigger the operating system footprint, the more benefits you get from containers
- containers also have the following advantages
	- reduced IT management resources
	- reduced size of snapshots
	- quicker spinning up apps
	- reduced and simplified security updates
	- less code to transfer
	- easier migrations of code and operating systems
- with containers, you don't need to mess around with trying to isolate your projects using various programming language version managers. You can just isolate them with Docker instead
- it's **a difference is a level of abstraction**:
	- you use Docker to isolate individual applications
	- you use virtual machines to isolate entire operating systems",,2019-07-19 10:59:04,systemUnknown
51,"reactNative, ionic","- generally, if you're a React shop, choose React Native; if you're an Angular shop, choose Ionic
	- however, Ionic 4 (2019) works with any JS framework, including React",,2019-07-19 11:11:21,systemUnknown
52,"rust, go","- both are system level programming languages
- Go is growing faster than Rust
- concurrency is central to Go programming methodology
	- architects made it easy for developers to write programs to optimize networked and multiple core devices
	- **but the Go compiler is less cautious about thread safety than Rust**
- Go is easy to integrate with modules of C code
	- as Google’s premier language, Go is currently in use in thousands of system level applications globally
	- one of Go's biggest success stories is that it that **Go was used to build the wildly popular Docker platform**
- Rust architects endowed their compiler with a novel capability to enforce memory safety called Ownership
	- the Rust compiler actually tracks the end of scope for pointers and destroys the allocation when the end of the scope is reached
	- Rust has high thread safety
		- **thread safety was a foundational goal of the Rust project**
	- Rust eliminates garbage collection pauses
	- much of the Rust functionality amounts to innovations on the Haskell programming language
	- use Rust to **squeeze the juice out of a machine**",,2019-07-19 11:25:01,systemUnknown
53,"gitlab, jenkins","- GitLab already provides more than what Jenkins is hoping to evolve to, by providing a fully integrated single application for the entire DevOps lifecycle
- Jenkins plugins are expensive to maintain, secure, and upgrade
	- in contrast, GitLab is open core and anyone can contribute changes directly to the codebase
		- and once merged would be automatically tested and maintained with every change
- Jenkins is well known to be time consuming to set up
- Jenkins is easier to use and learn, but it has the risk to become a plugin hell
- Jenkins has a GUI, which can be preferred if it has to be accessible and maintainable by other people
- Jenkins is very configurable because of all the plugins that are available. The downside of this is that your CI server can become a spaghetti of plugins
- chaining and orchestrating of jobs in Jenkins is much simpler
- over time, GitLab is proving to be an awesome tool to work with
- Gitlab is blazing fast to configure
	- try to open a complex Jenkins job configuration in Firefox and wait for the non-responsive script to come up vs. how lightweight is to edit .gitlab-ci.yml",,2019-07-19 12:52:29,systemUnknown
54,"xml,json","- both JSON and XML can be used to receive data from a web server
- both JSON and XML are self describing and human readable, as opposed to binary formats
- both JSON and XML are hierarchical, i.e. contain values within values
- both JSON and XML can be parsed and used by lots of programming languages
- JSON is shorter
- JSON is quicker to read and write
- JSON can use arrays
- XML is much more difficult to parse than JSON
	- JSON is parsed into a ready-to-use JavaScript object
- parsing large XML can consume large amounts of memory
	- parsing JSON is faster
	- in many languages, especially dynamic ones, you can just ""slurp in the JSON"" and you immediately have your domain object
		- it is easy to go from objects in JSON to the objects in code because they align
		- when going from objects in XML to objects in code they do not align and there is a lot of room for interpretation
- XML is more robust than JSON, e.g. can be defined with schema that restrict how XML documents can be formed",,2019-07-19 13:32:17,systemUnknown
55,"webpack, rollup","- use webpack for apps, use Rollup for libraries
- Rollup had tree shaking (automatica removal of unused code) first, now Webpack 2 has it
- Rollup has limited support for alternative file type loading, while Webpack has advanced support for CSS/HTML/image loading
- Webpack has code splitting, but Rollup added it in 2018
- Webpack has a complicated API
- [Parcel](https://parceljs.org/) is an up-and-coming bundler with a much less complicated configuration",,2019-07-19 14:03:22,systemUnknown
56,"github, bitbucket","- Github only supports Git, but not Mercurial
	- Bitbucket supports Bitbucket supports Git and Mercurial
	- neither support SVN
- Github is considered to be free. But that’s only if you allow your work to be public
	- BitBucket, on the other hand, is totally free for up to five users
- Bitbucket has a good Jira integration
- GitHub is more universal than BitBucket
- GitHub has more plugins",,2019-07-19 14:33:59,systemUnknown
57,"neo4j, mongodb","- Neo4j and MongoDB are **both NoSQL databases**, however, **Neo4J is a graph database**
- MongoDB is schemaless
- graph databases like Neo4J comply ACID framework with complete fine-grained atomicity of the transactions 
	- **ACID** = Atomicity, Consistency, Isolation, Durability
	- guarantee validity even in the event of errors, power failures, etc.
- **MongoDB provides flexibility**, high scalability in a distributed environment, therefore it requires eventual consistency of the database than instant ACID compliance
- **MongoDB does not create relationships** between the database models, as each data set stored in the document store of the database is disaggregated and independent
- **Neo4J enables visualization and navigation through the graphs as a tree**, where MongoDB cannot provide visualization of the document stores as graphs",,2019-07-30 13:15:48,systemUnknown
58,"aws,azure,googleCloud","- a market that has been dominated by AWS since day one
- whereas AWS has grown into the largest cloud services provider by being first to market and by being the more developer-friendly of the two platforms, Azure caters better for larger organizations already committed to Microsoft products moving an existing infrastructure to the cloud
- AWS key strength continues to be the breadth and depth of its services
- AWS often wins on developer functionality
- Microsoft is a strong number two to AWS thanks to its combination of Azure, Office 365 and Teams
- Google also often stands out for its deep expertise around open source technologies
- all vendors offer **free introductory tiers**, allowing customers to try their services before they buy",,2020-04-14 15:37:34,systemUnknown
59,"parcel,fusebox,browserify, rollup, webpack","- Parcel and FuseBox both try to do as much as possible within the core, i.e. don't rely so much on plugins as WebPack and Rollup do
- Browserify and Rollup are specialized in dealing with JavaScript
- while Parcel works out of the box, where Rollup requires plugins for things that really should work out of the box
	- requires a plugin to work with CommonJS modules 
	- also Rollups architecture also was not really robust regarding transformations
- FuseBox's ecosystem is not as mature or vast as Webpack's, but at least in our test everything seemed to have worked together well
- the **older Browserify and Brunch** may still be viable for one or the other use case, however, their age has shown in the test
	- without any bundle splitting or possibility to reference static assets they may still be viable for use in Node.js projects",,2020-05-06 17:10:11,systemUnknown
